,Country,Infected,Deaths
0,中国,85826,4634
1,香港,5304,105
2,マカオ,46,0
3,日本,97498,1725
4,韓国,26043,460
5,台湾,550,7
6,シンガポール,57973,28
7,ネパール,159830,862
8,タイ,3746,59
9,ベトナム,1169,35
10,マレーシア,27805,236
11,豪州,27539,905
12,米国,8702750,225706
13,カナダ,222973,10026
14,フランス,1144331,34781
15,ドイツ,450258,10091
16,カンボジア,288,0
17,スリランカ,8413,16
18,アラブ首長国連邦,126234,480
19,フィンランド,14970,354
20,フィリピン,371630,7039
21,インド,7946429,119502
22,イタリア,542789,37479
23,英国,897740,45088
24,ロシア,1520800,26092
25,スウェーデン,110594,5933
26,スペイン,1098320,35031
27,ベルギー,321031,10810
28,エジプト,106707,6211
29,イラン,574856,32953
30,イスラエル,310851,2453
31,レバノン,72186,579
32,クウェート,122317,749
33,バーレーン,80533,316
34,オマーン,113354,1190
35,アフガニスタン,40937,1518
36,イラク,455398,10671
37,アルジェリア,56419,1922
38,オーストリア,83267,992
39,スイス,103323,1876
40,クロアチア,37208,452
41,ブラジル,5409854,157397
42,ジョージア,30303,215
43,パキスタン,329375,6745
44,北マケドニア,27199,934
45,ギリシア,31496,581
46,ノルウェー,18342,279
47,ルーマニア,212492,6470
48,デンマーク,41919,708
49,エストニア,4428,73
50,オランダ,307831,7134
51,サンマリノ,852,42
52,リトアニア,10949,136
53,ナイジェリア,62111,1132
54,アイスランド,4504,11
55,アゼルバイジャン,50486,679
56,ベラルーシ,93707,961
57,ニュージーランド,1941,25
58,メキシコ,895326,89171
59,カタール,131432,230
60,ルクセンブルク,14399,147
61,モナコ,310,2
62,エクアドル,162178,12573
63,アイルランド,58067,1885
64,チェコ,268370,2365
65,アルメニア,78810,1196
66,ドミニカ共和国,124843,2225
67,インドネシア,392934,13411
68,アンドラ,4325,72
69,ポルトガル,121133,2343
70,ラトビア,4757,60
71,セネガル,15565,322
72,サウジアラビア,345232,5313
73,ヨルダン,55055,624
74,アルゼンチン,1102301,29301
75,チリ,503598,14003
76,ウクライナ,359348,6641
77,モロッコ,199745,3373
78,チュニジア,52399,983
79,ハンガリー,61563,1472
80,リヒテンシュタイン,402,1
81,ポーランド,263929,4483
82,スロベニア,24080,251
83,パレスチナ,50952,454
84,ボスニア・ヘルツェゴビナ,41596,1104
85,南アフリカ,716759,19008
86,ブータン,342,0
87,カメルーン,21793,426
88,トーゴ,2204,53
89,セルビア,39827,793
90,スロバキア,45155,165
91,バチカン,27,0
92,コロンビア,1025052,30348
93,ペルー,888715,34149
94,コスタリカ,104460,1312
95,マルタ,5578,53
96,パラグアイ,60109,1333
97,バングラデシュ,400251,5818
98,モルドバ,71811,1700
99,ブルガリア,40132,1136
100,モルディブ,11532,37
101,ブルネイ,148,3
102,キプロス,3636,25
103,アルバニア,19445,480
104,ブルキナファソ,2459,67
105,モンゴル,340,0
106,パナマ,129751,2638
107,ボリビア,140952,8658
108,ホンジュラス,93966,2633
109,コンゴ民主共和国,11174,305
110,ジャマイカ,8749,192
111,トルコ,363999,9874
112,コートジボワール,20486,122
113,ガイアナ,4026,119
114,キューバ,6595,128
115,トリニダード・トバゴ,5535,106
116,スーダン,13747,837
117,ギニア,11635,71
118,エチオピア,93707,1437
119,ケニア,49997,920
120,グアテマラ,104894,3651
121,ベネズエラ,90047,777
122,ガボン,8937,54
123,ガーナ,47775,316
124,アンティグア・バーブーダ,124,3
125,カザフスタン,110684,1796
126,ウルグアイ,2872,54
127,ナミビア,12675,133
128,セーシェル,153,0
129,セントルシア,63,0
130,ルワンダ,5073,34
131,エスワティニ,5863,116
132,スリナム,5180,110
133,モーリタニア,7677,163
134,コソボ,17943,663
135,コンゴ共和国,5253,92
136,セントビンセント及びクレナディーン諸島,73,0
137,中央アフリカ,4863,62
138,ウズベキスタン,65667,552
139,赤道ギニア,5079,83
140,リベリア,1416,82
141,タンザニア,509,21
142,ソマリア,3941,104
143,ベナン,2557,41
144,バハマ,6410,132
145,モンテネグロ,16909,270
146,バルバドス,233,7
147,キルギス,56170,1134
148,ザンビア,16200,348
149,ジブチ,5541,61
150,ガンビア,3665,119
151,モーリシャス,439,10
152,フィジー,33,2
153,エルサルバドル,32925,953
154,チャド,1441,96
155,ニカラグア,5434,155
156,マダガスカル,16968,244
157,ハイチ,9026,232
158,アンゴラ,9644,270
159,ニジェール,1215,69
160,パプアニューギニア,588,7
161,ジンバブエ,8303,242
162,カーボベルデ,8423,94
163,エリトリア,461,0
164,東ティモール,30,0
165,ウガンダ,11557,101
166,シリア,5461,272
167,モザンビーク,12161,88
168,グレナダ,28,0
169,ベリーズ,3145,50
170,ミャンマー,46200,1122
171,ドミニカ国,38,0
172,ラオス,24,0
173,ギニアビサウ,2403,41
174,マリ,3499,133
175,セントクリストファー・ネービス,19,0
176,リビア,57223,801
177,シエラレオネ,2346,74
178,ブルンジ,557,1
179,ボツワナ,6283,21
180,マラウイ,5894,183
181,西サハラ,10,1
182,南スーダン共和国,2883,56
183,サントメ・プリンシペ,941,15
184,イエメン共和国,2060,599
185,タジキスタン共和国,10819,81
186,コモロ連合,517,7
187,レソト王国,1943,43
188,ソロモン諸島,4,0
189,ダイヤモンド・プリンセス,712,13
190,その他,9,2
191,計,43400879,1158895
