,Country,Infected,Deaths
0,中国,86501,4634
1,香港,6039,108
2,マカオ,46,0
3,日本,142068,2074
4,韓国,33375,522
5,台湾,639,7
6,シンガポール,58199,28
7,ネパール,229343,1435
8,タイ,3966,60
9,ベトナム,1339,35
10,マレーシア,61861,350
11,豪州,27886,907
12,米国,13088821,264858
13,カナダ,362604,11916
14,フランス,2197475,51027
15,ドイツ,1038649,16011
16,カンボジア,308,0
17,スリランカ,22501,107
18,アラブ首長国連邦,165250,567
19,フィンランド,23766,393
20,フィリピン,425918,8255
21,インド,9351109,136200
22,イタリア,1538217,53677
23,英国,1593250,57648
24,ロシア,2196691,38175
25,スウェーデン,243129,6681
26,スペイン,1628208,44668
27,ベルギー,570829,16339
28,エジプト,114832,6608
29,イラン,922397,47095
30,イスラエル,333802,2839
31,レバノン,123982,980
32,クウェート,141876,874
33,バーレーン,86515,341
34,オマーン,122579,1391
35,アフガニスタン,45839,1740
36,イラク,547215,12167
37,アルジェリア,80168,2372
38,オーストリア,270992,2886
39,スイス,312722,4095
40,クロアチア,119706,1600
41,ブラジル,6238350,171974
42,ジョージア,123470,1161
43,パキスタン,392356,7942
44,北マケドニア,59701,1658
45,ギリシア,101287,2102
46,ノルウェー,35193,328
47,ルーマニア,457848,10884
48,デンマーク,77236,816
49,エストニア,11323,104
50,オランダ,517045,9343
51,サンマリノ,1554,44
52,リトアニア,56095,471
53,ナイジェリア,67220,1171
54,アイスランド,5346,26
55,アゼルバイジャン,109813,1291
56,ベラルーシ,131633,1136
57,ニュージーランド,2050,25
58,メキシコ,1078594,104242
59,カタール,138250,237
60,ルクセンブルク,33409,300
61,モナコ,603,3
62,エクアドル,189534,13358
63,アイルランド,71699,2043
64,チェコ,515984,7967
65,アルメニア,132346,2090
66,ドミニカ共和国,141777,2324
67,インドネシア,522581,16521
68,アンドラ,6610,76
69,ポルトガル,285838,4276
70,ラトビア,15808,190
71,セネガル,15981,332
72,サウジアラビア,356691,5857
73,ヨルダン,207601,2570
74,アルゼンチン,1407277,38216
75,チリ,547243,15278
76,ウクライナ,712249,12292
77,モロッコ,345276,5689
78,チュニジア,93770,3106
79,ハンガリー,198440,4364
80,リヒテンシュタイン,1231,15
81,ポーランド,958416,16147
82,スロベニア,72674,1293
83,パレスチナ,80429,689
84,ボスニア・ヘルツェゴビナ,85431,2542
85,南アフリカ,781941,21378
86,ブータン,395,0
87,カメルーン,24117,437
88,トーゴ,2926,64
89,セルビア,155994,1423
90,スロバキア,103106,771
91,バチカン,27,0
92,コロンビア,1290510,36214
93,ペルー,956347,35785
94,コスタリカ,137093,1690
95,マルタ,9501,128
96,パラグアイ,80436,1720
97,バングラデシュ,458711,6544
98,モルドバ,104140,2250
99,ブルガリア,139955,3680
100,モルディブ,12933,46
101,ブルネイ,150,3
102,キプロス,9983,48
103,アルバニア,36245,771
104,ブルキナファソ,2816,68
105,モンゴル,760,0
106,パナマ,161744,3030
107,ボリビア,144494,8943
108,ホンジュラス,107134,2899
109,コンゴ民主共和国,12470,333
110,ジャマイカ,10600,250
111,トルコ,548244,13191
112,コートジボワール,21232,131
113,ガイアナ,5310,149
114,キューバ,8110,133
115,トリニダード・トバゴ,6586,118
116,スーダン,16864,1215
117,ギニア,13039,76
118,エチオピア,108438,1686
119,ケニア,81656,1441
120,グアテマラ,121132,4141
121,ベネズエラ,101524,888
122,ガボン,9191,59
123,ガーナ,51225,323
124,アンティグア・バーブーダ,141,4
125,カザフスタン,130039,1990
126,ウルグアイ,5303,74
127,ナミビア,14207,149
128,セーシェル,173,0
129,セントルシア,246,2
130,ルワンダ,5872,47
131,エスワティニ,6362,120
132,スリナム,5311,117
133,モーリタニア,8424,172
134,コソボ,37792,975
135,コンゴ共和国,5774,94
136,セントビンセント及びクレナディーン諸島,85,0
137,中央アフリカ,4913,63
138,ウズベキスタン,72513,607
139,赤道ギニア,5146,85
140,リベリア,1595,83
141,タンザニア,509,21
142,ソマリア,4451,113
143,ベナン,2974,43
144,バハマ,7496,163
145,モンテネグロ,33836,474
146,バルバドス,270,7
147,キルギス,71548,1256
148,ザンビア,17569,357
149,ジブチ,5676,61
150,ガンビア,3731,123
151,モーリシャス,501,10
152,フィジー,38,2
153,エルサルバドル,38405,1102
154,チャド,1663,101
155,ニカラグア,5784,160
156,マダガスカル,17341,251
157,ハイチ,9264,232
158,アンゴラ,15008,342
159,ニジェール,1472,70
160,パプアニューギニア,645,7
161,ジンバブエ,9714,275
162,カーボベルデ,10626,105
163,エリトリア,566,0
164,東ティモール,30,0
165,ウガンダ,19588,197
166,シリア,7635,404
167,モザンビーク,15506,128
168,グレナダ,41,0
169,ベリーズ,5587,141
170,ミャンマー,86633,1865
171,ドミニカ国,80,0
172,ラオス,39,0
173,ギニアビサウ,2422,43
174,マリ,4567,149
175,セントクリストファー・ネービス,22,0
176,リビア,81273,1153
177,シエラレオネ,2410,74
178,ブルンジ,681,1
179,ボツワナ,10258,31
180,マラウイ,6024,185
181,西サハラ,10,1
182,南スーダン共和国,3104,61
183,サントメ・プリンシペ,985,17
184,イエメン共和国,2148,614
185,タジキスタン共和国,12082,86
186,コモロ連合,610,7
187,レソト王国,2109,44
188,ソロモン諸島,17,0
189,マーシャル諸島共和国,4,0
190,バヌアツ共和国,1,0
191,ダイヤモンド・プリンセス,712,13
192,その他,9,2
193,計,61588523,1441262
