,Country,Infected,Deaths
0,中国,83581,4634
1,香港,1365,7
2,マカオ,46,0
3,日本,21129,982
4,韓国,13373,288
5,台湾,449,7
6,シンガポール,45614,26
7,ネパール,16649,35
8,タイ,3202,58
9,ベトナム,370,0
10,マレーシア,8696,121
11,豪州,9553,107
12,米国,3184573,134092
13,カナダ,108984,8811
14,フランス,170177,29979
15,ドイツ,199332,9063
16,カンボジア,141,0
17,スリランカ,2454,11
18,アラブ首長国連邦,54050,330
19,フィンランド,7279,329
20,フィリピン,52914,1360
21,インド,820916,22123
22,イタリア,242639,34938
23,英国,289678,44735
24,ロシア,712863,11000
25,スウェーデン,74898,5526
26,スペイン,253908,28403
27,ベルギー,62357,9781
28,エジプト,80235,3702
29,イラン,252720,12447
30,イスラエル,36266,351
31,レバノン,2082,36
32,クウェート,53580,383
33,バーレーン,32039,104
34,オマーン,53614,244
35,アフガニスタン,34194,971
36,イラク,72460,2960
37,アルジェリア,18242,996
38,オーストリア,18709,706
39,スイス,32501,1685
40,クロアチア,3532,117
41,ブラジル,1800827,70398
42,ジョージア,973,15
43,パキスタン,246351,5123
44,北マケドニア,7777,368
45,ギリシア,3732,193
46,ノルウェー,8974,252
47,ルーマニア,31381,1847
48,デンマーク,13147,609
49,エストニア,2013,69
50,オランダ,51055,6155
51,サンマリノ,699,42
52,リトアニア,1861,79
53,ナイジェリア,31323,709
54,アイスランド,1886,10
55,アゼルバイジャン,22990,292
56,ベラルーシ,64604,454
57,ニュージーランド,1543,22
58,メキシコ,289174,34191
59,カタール,102630,146
60,ルクセンブルク,4777,110
61,モナコ,108,4
62,エクアドル,65018,4939
63,アイルランド,25589,1744
64,チェコ,13001,352
65,アルメニア,30903,546
66,ドミニカ共和国,41915,864
67,インドネシア,72347,3469
68,アンドラ,855,52
69,ポルトガル,45679,1646
70,ラトビア,1165,30
71,セネガル,7882,145
72,サウジアラビア,226486,2151
73,ヨルダン,1173,10
74,アルゼンチン,94060,1774
75,チリ,309274,6781
76,ウクライナ,53116,1362
77,モロッコ,15328,243
78,チュニジア,1240,50
79,ハンガリー,4223,593
80,リヒテンシュタイン,84,1
81,ポーランド,37216,1562
82,スロベニア,1793,111
83,パレスチナ,5551,27
84,ボスニア・ヘルツェゴビナ,6402,216
85,南アフリカ,250687,3860
86,ブータン,80,0
87,カメルーン,14916,359
88,トーゴ,710,15
89,セルビア,17728,370
90,スロバキア,1870,28
91,バチカン,12,0
92,コロンビア,133973,4985
93,ペルー,319646,11500
94,コスタリカ,6845,26
95,マルタ,674,9
96,パラグアイ,2736,20
97,バングラデシュ,178443,2275
98,モルドバ,18924,635
99,ブルガリア,6964,267
100,モルディブ,2617,13
101,ブルネイ,141,3
102,キプロス,1013,19
103,アルバニア,3278,85
104,ブルキナファソ,1020,53
105,モンゴル,227,0
106,パナマ,43257,863
107,ボリビア,45565,1702
108,ホンジュラス,27053,750
109,コンゴ民主共和国,7905,189
110,ジャマイカ,753,10
111,トルコ,210965,5323
112,コートジボワール,12052,81
113,ガイアナ,290,16
114,キューバ,2413,86
115,トリニダード・トバゴ,133,8
116,スーダン,10204,649
117,ギニア,5969,37
118,エチオピア,7120,124
119,ケニア,9448,181
120,グアテマラ,27619,1139
121,ベネズエラ,8803,83
122,ガボン,5942,46
123,ガーナ,23834,135
124,アンティグア・バーブーダ,74,3
125,カザフスタン,56455,264
126,ウルグアイ,985,29
127,ナミビア,668,1
128,セーシェル,100,0
129,セントルシア,22,0
130,ルワンダ,1252,3
131,エスワティニ,1257,18
132,スリナム,726,18
133,モーリタニア,5203,146
134,コソボ,4307,94
135,コンゴ共和国,2028,47
136,セントビンセント及びクレナディーン諸島,29,0
137,中央アフリカ,4259,53
138,ウズベキスタン,12027,54
139,赤道ギニア,3071,51
140,リベリア,963,47
141,タンザニア,509,21
142,ソマリア,3038,92
143,ベナン,1285,23
144,バハマ,108,11
145,モンテネグロ,1019,19
146,バルバドス,98,7
147,キルギス,9910,125
148,ザンビア,1895,42
149,ジブチ,4968,56
150,ガンビア,64,3
151,モーリシャス,342,10
152,フィジー,26,0
153,エルサルバドル,9142,249
154,チャド,874,74
155,ニカラグア,2846,91
156,マダガスカル,4143,34
157,ハイチ,6617,135
158,アンゴラ,458,23
159,ニジェール,1099,68
160,パプアニューギニア,11,0
161,ジンバブエ,942,13
162,カーボベルデ,1591,19
163,エリトリア,232,0
164,東ティモール,24,0
165,ウガンダ,1006,0
166,シリア,394,16
167,モザンビーク,1111,9
168,グレナダ,23,0
169,ベリーズ,37,2
170,ミャンマー,326,6
171,ドミニカ国,18,0
172,ラオス,19,0
173,ギニアビサウ,1842,26
174,マリ,2404,121
175,セントクリストファー・ネービス,17,0
176,リビア,1342,38
177,シエラレオネ,1613,63
178,ブルンジ,191,1
179,ボツワナ,314,1
180,マラウイ,2069,31
181,西サハラ,10,1
182,南スーダン共和国,2021,38
183,サントメ・プリンシペ,727,14
184,イエメン共和国,1380,364
185,タジキスタン共和国,6457,55
186,コモロ連合,314,7
187,レソト王国,184,1
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,12460525,559900
