,Country,Infected,Deaths
0,中国,83512,4634
1,香港,1199,7
2,マカオ,46,0
3,日本,18476,972
4,韓国,12757,282
5,台湾,447,7
6,シンガポール,43459,26
7,ネパール,12772,28
8,タイ,3162,58
9,ベトナム,355,0
10,マレーシア,8634,121
11,豪州,7764,104
12,米国,2548996,125803
13,カナダ,105193,8582
14,フランス,163019,29778
15,ドイツ,194693,8968
16,カンボジア,141,0
17,スリランカ,2037,11
18,アラブ首長国連邦,47797,313
19,フィンランド,7198,328
20,フィリピン,35455,1244
21,インド,548318,16475
22,イタリア,240310,34738
23,英国,312640,43634
24,ロシア,633563,9060
25,スウェーデン,65137,5280
26,スペイン,248770,28343
27,ベルギー,61295,9732
28,エジプト,65188,2789
29,イラン,222669,10508
30,イスラエル,23755,318
31,レバノン,1740,34
32,クウェート,44942,348
33,バーレーン,25705,83
34,オマーン,38150,163
35,アフガニスタン,30967,721
36,イラク,45402,1756
37,アルジェリア,13273,897
38,オーストリア,17654,702
39,スイス,31472,1681
40,クロアチア,2691,107
41,ブラジル,1344143,57622
42,ジョージア,924,15
43,パキスタン,206512,4167
44,北マケドニア,6080,286
45,ギリシア,3376,191
46,ノルウェー,8855,249
47,ルーマニア,26313,1612
48,デンマーク,12875,604
49,エストニア,1987,69
50,オランダ,50355,6124
51,サンマリノ,698,42
52,リトアニア,1815,78
53,ナイジェリア,24567,565
54,アイスランド,1838,10
55,アゼルバイジャン,16424,198
56,ベラルーシ,61475,383
57,ニュージーランド,1528,22
58,メキシコ,216852,26648
59,カタール,94413,110
60,ルクセンブルク,4242,110
61,モナコ,103,4
62,エクアドル,55255,4429
63,アイルランド,25439,1735
64,チェコ,11603,348
65,アルメニア,24645,426
66,ドミニカ共和国,31373,726
67,インドネシア,54010,2754
68,アンドラ,855,52
69,ポルトガル,41646,1564
70,ラトビア,1116,30
71,セネガル,6586,105
72,サウジアラビア,182493,1551
73,ヨルダン,1121,9
74,アルゼンチン,59933,1232
75,チリ,271982,5509
76,ウクライナ,43856,1142
77,モロッコ,12052,221
78,チュニジア,1169,50
79,ハンガリー,4142,581
80,リヒテンシュタイン,82,1
81,ポーランド,33907,1438
82,スロベニア,1581,111
83,パレスチナ,1990,4
84,ボスニア・ヘルツェゴビナ,3935,178
85,南アフリカ,138134,2456
86,ブータン,76,0
87,カメルーン,12592,313
88,トーゴ,642,14
89,セルビア,14046,270
90,スロバキア,1664,28
91,バチカン,12,0
92,コロンビア,91995,3256
93,ペルー,279419,9317
94,コスタリカ,3130,15
95,マルタ,670,9
96,パラグアイ,2127,15
97,バングラデシュ,137787,1738
98,モルドバ,16250,530
99,ブルガリア,4691,219
100,モルディブ,2324,8
101,ブルネイ,141,3
102,キプロス,994,19
103,アルバニア,2402,55
104,ブルキナファソ,959,53
105,モンゴル,220,0
106,パナマ,31686,604
107,ボリビア,31524,1014
108,ホンジュラス,18082,479
109,コンゴ民主共和国,6827,157
110,ジャマイカ,696,10
111,トルコ,197239,5097
112,コートジボワール,9101,66
113,ガイアナ,230,12
114,キューバ,2332,86
115,トリニダード・トバゴ,126,8
116,スーダン,9257,572
117,ギニア,5342,31
118,エチオピア,5689,98
119,ケニア,6070,143
120,グアテマラ,16930,727
121,ベネズエラ,5297,44
122,ガボン,5209,40
123,ガーナ,16742,112
124,アンティグア・バーブーダ,69,3
125,カザフスタン,21327,178
126,ウルグアイ,929,27
127,ナミビア,183,0
128,セーシェル,70,0
129,セントルシア,19,0
130,ルワンダ,900,2
131,エスワティニ,781,11
132,スリナム,490,11
133,モーリタニア,4149,126
134,コソボ,2169,37
135,コンゴ共和国,1087,37
136,セントビンセント及びクレナディーン諸島,29,0
137,中央アフリカ,3429,45
138,ウズベキスタン,7948,22
139,赤道ギニア,2001,32
140,リベリア,768,34
141,タンザニア,509,21
142,ソマリア,2894,90
143,ベナン,1149,16
144,バハマ,104,11
145,モンテネグロ,481,11
146,バルバドス,97,7
147,キルギス,5017,50
148,ザンビア,1557,22
149,ジブチ,4643,52
150,ガンビア,45,2
151,モーリシャス,341,10
152,フィジー,18,0
153,エルサルバドル,5934,152
154,チャド,866,74
155,ニカラグア,2170,74
156,マダガスカル,2078,18
157,ハイチ,5777,100
158,アンゴラ,267,11
159,ニジェール,1074,67
160,パプアニューギニア,11,0
161,ジンバブエ,567,6
162,カーボベルデ,1155,12
163,エリトリア,191,0
164,東ティモール,24,0
165,ウガンダ,859,0
166,シリア,256,9
167,モザンビーク,859,5
168,グレナダ,23,0
169,ベリーズ,24,2
170,ミャンマー,299,6
171,ドミニカ国,18,0
172,ラオス,19,0
173,ギニアビサウ,1614,22
174,マリ,2147,114
175,セントクリストファー・ネービス,15,0
176,リビア,762,21
177,シエラレオネ,1427,60
178,ブルンジ,170,1
179,ボツワナ,92,1
180,マラウイ,1146,13
181,西サハラ,10,1
182,南スーダン共和国,1989,36
183,サントメ・プリンシペ,713,13
184,イエメン共和国,1118,302
185,タジキスタン共和国,5849,52
186,コモロ連合,272,7
187,レソト王国,27,0
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,10109299,501609
