,Country,Infected,Deaths
0,中国,82836,4633
1,香港,1038,4
2,マカオ,45,0
3,日本,13576,376
4,韓国,10752,244
5,台湾,429,6
6,シンガポール,14423,12
7,ネパール,52,0
8,タイ,2931,52
9,ベトナム,270,0
10,マレーシア,5820,98
11,豪州,6713,83
12,米国,987022,56144
13,カナダ,47316,2617
14,フランス,128339,23293
15,ドイツ,158434,6061
16,カンボジア,122,0
17,スリランカ,588,7
18,アラブ首長国連邦,10839,76
19,フィンランド,4695,190
20,フィリピン,7777,511
21,インド,28380,886
22,イタリア,199414,26977
23,英国,157149,21092
24,ロシア,87044,794
25,スウェーデン,18926,2274
26,スペイン,229422,23521
27,ベルギー,46687,7207
28,エジプト,4782,317
29,イラン,91472,5806
30,イスラエル,15555,199
31,レバノン,710,24
32,クウェート,3288,20
33,バーレーン,2723,8
34,オマーン,2049,10
35,アフガニスタン,1703,50
36,イラク,1847,87
37,アルジェリア,3517,425
38,オーストリア,15239,549
39,スイス,29082,1352
40,クロアチア,2039,55
41,ブラジル,66501,4543
42,ジョージア,497,6
43,パキスタン,13915,281
44,北マケドニア,1399,61
45,ギリシア,2534,130
46,ノルウェー,7554,193
47,ルーマニア,11339,608
48,デンマーク,8896,422
49,エストニア,1647,49
50,オランダ,38245,4518
51,サンマリノ,538,41
52,リトアニア,1449,41
53,ナイジェリア,1273,40
54,アイスランド,1792,10
55,アゼルバイジャン,1678,21
56,ベラルーシ,11289,72
57,ニュージーランド,1469,19
58,メキシコ,14677,1305
59,カタール,11244,10
60,ルクセンブルク,3729,88
61,モナコ,95,1
62,エクアドル,23240,576
63,アイルランド,19648,1102
64,チェコ,7445,221
65,アルメニア,1808,29
66,ドミニカ共和国,6293,278
67,インドネシア,9096,743
68,アンドラ,738,40
69,ポルトガル,24027,928
70,ラトビア,818,12
71,セネガル,736,9
72,サウジアラビア,18811,139
73,ヨルダン,449,7
74,アルゼンチン,3892,179
75,チリ,13813,189
76,ウクライナ,9009,220
77,モロッコ,4120,161
78,チュニジア,967,38
79,ハンガリー,2583,280
80,リヒテンシュタイン,82,1
81,ポーランド,11902,535
82,スロベニア,1402,82
83,パレスチナ,342,2
84,ボスニア・ヘルツェゴビナ,1565,58
85,南アフリカ,4793,87
86,ジブラルタル（英領）,141,0
87,ブータン,7,0
88,カメルーン,1621,56
89,トーゴ,98,6
90,セルビア,6630,156
91,スロバキア,1381,18
92,バチカン,9,0
93,コロンビア,5379,233
94,ペルー,28699,782
95,コスタリカ,697,6
96,マルタ,450,4
97,パラグアイ,228,9
98,バングラデシュ,5913,145
99,モルドバ,3481,96
100,ブルガリア,1363,56
101,モルディブ,226,0
102,ブルネイ,138,1
103,キプロス,822,17
104,アルバニア,736,28
105,ブルキナファソ,632,42
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,38,0
108,パナマ,5779,159
109,ボリビア,950,46
110,ホンジュラス,661,59
111,コンゴ民主共和国,459,28
112,ジャマイカ,350,7
113,トルコ,112261,2900
114,コートジボワール,1164,14
115,ガイアナ,74,8
116,ガーンジー（英領）,245,12
117,ジャージー（英領）,280,19
118,ケイマン諸島（英領）,70,1
119,キューバ,1389,54
120,トリニダード・トバゴ,116,8
121,スーダン,275,21
122,ギニア,1163,7
123,エチオピア,124,3
124,ケニア,363,14
125,グアテマラ,500,15
126,ベネズエラ,325,10
127,ガボン,211,3
128,ガーナ,1550,11
129,アンティグア・バーブーダ,24,3
130,カザフスタン,2835,25
131,ウルグアイ,606,14
132,アルバ,100,2
133,ナミビア,16,0
134,セーシェル,11,0
135,セントルシア,15,0
136,ルワンダ,207,0
137,エスワティニ,65,1
138,キュラソー,14,1
139,スリナム,10,1
140,モーリタニア,7,1
141,コソボ,510,21
142,コンゴ共和国,200,8
143,セントビンセント及びクレナディーン諸島,15,0
144,中央アフリカ,19,0
145,ウズベキスタン,1904,8
146,赤道ギニア,258,1
147,リベリア,124,12
148,タンザニア,299,10
149,ソマリア,480,23
150,ベナン,64,1
151,バハマ,80,11
152,モンテネグロ,321,7
153,バルバドス,79,6
154,キルギス,695,8
155,ザンビア,88,3
156,ジブチ,1035,2
157,ガンビア,10,1
158,モーリシャス,334,9
159,フィジー,18,0
160,エルサルバドル,323,8
161,チャド,46,0
162,ニカラグア,13,3
163,モントセラト（英領）,11,1
164,マダガスカル,128,0
165,ハイチ,74,6
166,アンゴラ,27,2
167,ニジェール,701,29
168,パプアニューギニア,8,0
169,ジンバブエ,31,4
170,カーボベルデ,109,1
171,エリトリア,39,0
172,東ティモール,24,0
173,マン島（英王室属領）,308,18
174,ウガンダ,79,0
175,ニューカレドニア,18,0
176,シリア,43,3
177,モザンビーク,76,0
178,グレナダ,18,0
179,ベリーズ,18,2
180,バミューダ（英領）,109,5
181,ミャンマー,146,5
182,ドミニカ国,16,0
183,ラオス,19,0
184,タークス・カイコス諸島（英領）,11,1
185,ギニアビサウ,73,1
186,マリ,408,23
187,セントクリストファー・ネービス,15,0
188,リビア,61,2
189,アンギラ（英領）,3,0
190,バージン諸島（英領）,6,1
191,シエラレオネ,93,4
192,ブルンジ,11,1
193,ボツワナ,22,1
194,マラウイ,36,3
195,ボネール、シント・ユースタティウス及びサバ,5,0
196,フォークランド諸島（英領）,13,0
197,西サハラ,6,0
198,南スーダン共和国,6,0
199,サントメ・プリンシペ,4,0
200,イエメン共和国,1,0
201,その他,712,13
202,計,2995696,209805
