,Country,Infected,Deaths
0,中国,84596,4634
1,香港,3938,46
2,マカオ,46,0
3,日本,45439,1039
4,韓国,14562,304
5,台湾,477,7
6,シンガポール,54797,27
7,ネパール,22214,70
8,タイ,3345,58
9,ベトナム,789,10
10,マレーシア,9063,125
11,豪州,20698,278
12,米国,4941755,161347
13,カナダ,120903,9017
14,フランス,195717,30312
15,ドイツ,216196,9195
16,カンボジア,246,0
17,スリランカ,2839,11
18,アラブ首長国連邦,62061,356
19,フィンランド,7554,331
20,フィリピン,122754,2168
21,インド,2088611,42518
22,イタリア,249756,35190
23,英国,310696,46596
24,ロシア,875378,14698
25,スウェーデン,82323,5763
26,スペイン,314362,28503
27,ベルギー,72784,9866
28,エジプト,95147,4971
29,イラン,322567,18132
30,イスラエル,80991,581
31,レバノン,5951,70
32,クウェート,70727,471
33,バーレーン,43307,159
34,オマーン,81067,502
35,アフガニスタン,37015,1307
36,イラク,144064,5236
37,アルジェリア,34155,1282
38,オーストリア,21837,720
39,スイス,36019,1708
40,クロアチア,5466,155
41,ブラジル,2962442,99572
42,ジョージア,1213,17
43,パキスタン,282645,6052
44,北マケドニア,11554,519
45,ギリシア,5270,210
46,ノルウェー,9551,256
47,ルーマニア,59273,2616
48,デンマーク,14747,617
49,エストニア,2133,63
50,オランダ,58117,6174
51,サンマリノ,699,42
52,リトアニア,2194,81
53,ナイジェリア,45687,936
54,アイスランド,1952,10
55,アゼルバイジャン,33376,483
56,ベラルーシ,68614,583
57,ニュージーランド,1569,22
58,メキシコ,469407,51311
59,カタール,112383,180
60,ルクセンブルク,7113,119
61,モナコ,128,4
62,エクアドル,91969,5897
63,アイルランド,26470,1772
64,チェコ,18060,389
65,アルメニア,39985,777
66,ドミニカ共和国,77709,1259
67,インドネシア,121226,5593
68,アンドラ,955,52
69,ポルトガル,52351,1746
70,ラトビア,1281,32
71,セネガル,10887,225
72,サウジアラビア,285793,3093
73,ヨルダン,1237,11
74,アルゼンチン,235677,4411
75,チリ,368825,9958
76,ウクライナ,80018,1879
77,モロッコ,30662,461
78,チュニジア,1656,51
79,ハンガリー,4621,602
80,リヒテンシュタイン,89,1
81,ポーランド,50324,1787
82,スロベニア,2233,125
83,パレスチナ,13722,94
84,ボスニア・ヘルツェゴビナ,13687,394
85,南アフリカ,545476,9909
86,ブータン,108,0
87,カメルーン,17718,391
88,トーゴ,1028,22
89,セルビア,27608,626
90,スロバキア,2523,31
91,バチカン,12,0
92,コロンビア,367204,12250
93,ペルー,463875,20649
94,コスタリカ,22081,218
95,マルタ,995,9
96,パラグアイ,6508,69
97,バングラデシュ,252502,3333
98,モルドバ,26990,835
99,ブルガリア,13209,442
100,モルディブ,4769,19
101,ブルネイ,142,3
102,キプロス,1222,19
103,アルバニア,6151,189
104,ブルキナファソ,1158,54
105,モンゴル,293,0
106,パナマ,72560,1591
107,ボリビア,87891,3524
108,ホンジュラス,46365,1465
109,コンゴ民主共和国,9355,218
110,ジャマイカ,987,13
111,トルコ,238450,5813
112,コートジボワール,16524,104
113,ガイアナ,538,22
114,キューバ,2829,88
115,トリニダード・トバゴ,225,8
116,スーダン,11894,773
117,ギニア,7777,50
118,エチオピア,21452,380
119,ケニア,25138,413
120,グアテマラ,55270,2168
121,ベネズエラ,24166,208
122,ガボン,7923,51
123,ガーナ,40097,206
124,アンティグア・バーブーダ,92,3
125,カザフスタン,97829,1058
126,ウルグアイ,1325,37
127,ナミビア,2802,16
128,セーシェル,126,0
129,セントルシア,25,0
130,ルワンダ,2128,5
131,エスワティニ,3036,56
132,スリナム,2203,29
133,モーリタニア,6498,157
134,コソボ,9869,303
135,コンゴ共和国,3637,58
136,セントビンセント及びクレナディーン諸島,56,0
137,中央アフリカ,4641,59
138,ウズベキスタン,29057,181
139,赤道ギニア,4821,83
140,リベリア,1230,78
141,タンザニア,509,21
142,ソマリア,3227,93
143,ベナン,1936,38
144,バハマ,830,14
145,モンテネグロ,3549,61
146,バルバドス,138,7
147,キルギス,39162,1451
148,ザンビア,7486,200
149,ジブチ,5338,59
150,ガンビア,1090,19
151,モーリシャス,344,10
152,フィジー,27,1
153,エルサルバドル,19544,520
154,チャド,942,76
155,ニカラグア,3902,123
156,マダガスカル,12708,135
157,ハイチ,7599,177
158,アンゴラ,1538,67
159,ニジェール,1153,69
160,パプアニューギニア,188,3
161,ジンバブエ,4451,102
162,カーボベルデ,2780,29
163,エリトリア,285,0
164,東ティモール,25,0
165,ウガンダ,1254,6
166,シリア,1060,48
167,モザンビーク,2213,15
168,グレナダ,24,0
169,ベリーズ,114,2
170,ミャンマー,359,6
171,ドミニカ国,18,0
172,ラオス,20,0
173,ギニアビサウ,2032,27
174,マリ,2561,125
175,セントクリストファー・ネービス,17,0
176,リビア,5079,108
177,シエラレオネ,1887,68
178,ブルンジ,400,1
179,ボツワナ,804,2
180,マラウイ,4575,137
181,西サハラ,10,1
182,南スーダン共和国,2450,47
183,サントメ・プリンシペ,878,15
184,イエメン共和国,1796,512
185,タジキスタン共和国,7706,62
186,コモロ連合,396,7
187,レソト王国,742,23
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,19337971,721027
