,Country,Infected,Deaths
0,中国,82798,4632
1,香港,1034,4
2,マカオ,45,0
3,日本,11919,287
4,韓国,10702,240
5,台湾,426,6
6,シンガポール,10141,11
7,ネパール,45,0
8,タイ,2826,49
9,ベトナム,268,0
10,マレーシア,5532,92
11,豪州,6647,74
12,米国,837947,46497
13,カナダ,40179,1974
14,フランス,119151,21340
15,ドイツ,150062,5250
16,カンボジア,122,0
17,スリランカ,330,7
18,アラブ首長国連邦,8238,46
19,フィンランド,4129,141
20,フィリピン,6710,446
21,インド,20471,652
22,イタリア,187327,25085
23,英国,133495,18100
24,ロシア,57934,513
25,スウェーデン,16004,1937
26,スペイン,208389,21717
27,ベルギー,41889,6262
28,エジプト,3659,264
29,イラン,85996,5391
30,イスラエル,14498,184
31,レバノン,682,22
32,クウェート,2248,11
33,バーレーン,2027,7
34,オマーン,1614,8
35,アフガニスタン,1176,36
36,イラク,1631,83
37,アルジェリア,2910,392
38,オーストリア,14889,510
39,スイス,28187,1216
40,クロアチア,1950,48
41,ブラジル,45757,2906
42,ジョージア,416,5
43,パキスタン,10076,209
44,北マケドニア,1259,55
45,ギリシア,2408,121
46,ノルウェー,7275,163
47,ルーマニア,9710,483
48,デンマーク,8108,370
49,エストニア,1559,43
50,オランダ,34842,4054
51,サンマリノ,488,40
52,リトアニア,1370,38
53,ナイジェリア,782,19
54,アイスランド,1785,10
55,アゼルバイジャン,1518,20
56,ベラルーシ,7281,55
57,ニュージーランド,1451,14
58,メキシコ,9501,712
59,カタール,7141,9
60,ルクセンブルク,3654,78
61,モナコ,94,1
62,エクアドル,10850,520
63,アイルランド,16671,769
64,チェコ,7087,201
65,アルメニア,1473,24
66,ドミニカ共和国,5300,245
67,インドネシア,7418,616
68,アンドラ,723,37
69,ポルトガル,21982,785
70,ラトビア,761,9
71,セネガル,442,5
72,サウジアラビア,12772,109
73,ヨルダン,435,7
74,アルゼンチン,3144,145
75,チリ,11296,147
76,ウクライナ,6592,174
77,モロッコ,3446,145
78,チュニジア,909,38
79,ハンガリー,2168,225
80,リヒテンシュタイン,81,1
81,ポーランド,10169,401
82,スロベニア,1353,77
83,パレスチナ,474,2
84,ボスニア・ヘルツェゴビナ,1368,50
85,南アフリカ,3635,58
86,ジブラルタル（英領）,133,0
87,ブータン,6,0
88,カメルーン,1163,43
89,トーゴ,88,6
90,セルビア,6630,130
91,スロバキア,1244,14
92,バチカン,9,0
93,コロンビア,4356,189
94,ペルー,19250,530
95,コスタリカ,681,6
96,マルタ,444,3
97,パラグアイ,213,8
98,バングラデシュ,3772,110
99,モルドバ,2778,73
100,ブルガリア,1024,45
101,モルディブ,86,0
102,ブルネイ,138,1
103,キプロス,790,17
104,アルバニア,634,26
105,ブルキナファソ,609,38
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,35,0
108,パナマ,4821,136
109,ボリビア,609,34
110,ホンジュラス,510,46
111,コンゴ民主共和国,359,25
112,ジャマイカ,233,6
113,トルコ,98674,2376
114,コートジボワール,952,13
115,ガイアナ,67,7
116,ガーンジー（英領）,239,10
117,ジャージー（英領）,250,14
118,ケイマン諸島（英領）,66,1
119,キューバ,1189,38
120,トリニダード・トバゴ,115,8
121,スーダン,140,13
122,ギニア,761,6
123,エチオピア,116,3
124,ケニア,303,14
125,グアテマラ,316,9
126,ベネズエラ,288,10
127,ガボン,166,1
128,ガーナ,1154,9
129,アンティグア・バーブーダ,24,3
130,カザフスタン,2135,19
131,ウルグアイ,543,10
132,アルバ,97,2
133,ナミビア,16,0
134,セーシェル,11,0
135,セントルシア,15,0
136,ルワンダ,153,0
137,エスワティニ,31,1
138,キュラソー,14,1
139,スリナム,10,1
140,モーリタニア,7,1
141,コソボ,510,18
142,コンゴ共和国,186,6
143,セントビンセント及びクレナディーン諸島,13,0
144,中央アフリカ,14,0
145,ウズベキスタン,1716,6
146,赤道ギニア,84,0
147,リベリア,101,8
148,タンザニア,284,10
149,ソマリア,286,14
150,ベナン,54,1
151,バハマ,65,9
152,モンテネグロ,315,5
153,バルバドス,75,5
154,キルギス,612,7
155,ザンビア,74,3
156,ジブチ,974,2
157,ガンビア,10,1
158,モーリシャス,329,9
159,フィジー,18,0
160,エルサルバドル,237,7
161,チャド,33,0
162,ニカラグア,10,2
163,モントセラト（英領）,11,0
164,マダガスカル,121,0
165,ハイチ,62,3
166,アンゴラ,25,2
167,ニジェール,662,20
168,パプアニューギニア,8,0
169,ジンバブエ,28,3
170,カーボベルデ,73,1
171,エリトリア,39,0
172,東ティモール,23,0
173,マン島（英王室属領）,307,10
174,ウガンダ,63,0
175,ニューカレドニア,18,0
176,シリア,42,3
177,モザンビーク,41,0
178,グレナダ,15,0
179,ベリーズ,18,2
180,バミューダ（英領）,86,5
181,ミャンマー,123,5
182,ドミニカ国,16,0
183,ラオス,19,0
184,タークス・カイコス諸島（英領）,11,1
185,ギニアビサウ,50,0
186,マリ,293,14
187,セントクリストファー・ネービス,15,0
188,リビア,59,1
189,アンギラ（英領）,3,0
190,バージン諸島（英領）,4,1
191,シエラレオネ,61,0
192,ブルンジ,11,1
193,ボツワナ,20,1
194,マラウイ,23,2
195,ボネール、シント・ユースタティウス及びサバ,5,0
196,フォークランド諸島（英領）,11,0
197,西サハラ,6,0
198,南スーダン共和国,4,0
199,サントメ・プリンシペ,4,0
200,イエメン共和国,1,0
201,その他,712,13
202,計,2580812,181986
