,Country,Infected,Deaths
0,中国,83558,4634
1,香港,1285,7
2,マカオ,46,0
3,日本,19981,978
4,韓国,13181,285
5,台湾,449,7
6,シンガポール,44983,26
7,ネパール,15964,35
8,タイ,3195,58
9,ベトナム,369,0
10,マレーシア,8668,121
11,豪州,8755,106
12,米国,2936077,130285
13,カナダ,107815,8748
14,フランス,167043,29893
15,ドイツ,198064,9022
16,カンボジア,141,0
17,スリランカ,2077,11
18,アラブ首長国連邦,52068,324
19,フィンランド,7257,329
20,フィリピン,46333,1303
21,インド,719664,20159
22,イタリア,241819,34869
23,英国,287290,44321
24,ロシア,686852,10280
25,スウェーデン,73061,5433
26,スペイン,251789,28388
27,ベルギー,62058,9774
28,エジプト,76222,3422
29,イラン,243051,11731
30,イスラエル,30749,334
31,レバノン,1885,36
32,クウェート,50644,373
33,バーレーン,29821,98
34,オマーン,47735,218
35,アフガニスタン,33190,898
36,イラク,62275,2567
37,アルジェリア,16404,959
38,オーストリア,18365,706
39,スイス,32184,1685
40,クロアチア,3220,113
41,ブラジル,1623284,65487
42,ジョージア,953,15
43,パキスタン,234509,4839
44,北マケドニア,7124,346
45,ギリシア,3562,192
46,ノルウェー,8936,251
47,ルーマニア,29223,1768
48,デンマーク,13079,607
49,エストニア,1994,69
50,オランダ,50870,6147
51,サンマリノ,698,42
52,リトアニア,1841,79
53,ナイジェリア,29286,654
54,アイスランド,1866,10
55,アゼルバイジャン,20837,258
56,ベラルーシ,63804,429
57,ニュージーランド,1536,22
58,メキシコ,261750,31119
59,カタール,100345,133
60,ルクセンブルク,4542,110
61,モナコ,108,4
62,エクアドル,62380,4821
63,アイルランド,25531,1741
64,チェコ,12566,350
65,アルメニア,28936,491
66,ドミニカ共和国,38128,804
67,インドネシア,64958,3241
68,アンドラ,855,52
69,ポルトガル,44129,1620
70,ラトビア,1127,30
71,セネガル,7478,136
72,サウジアラビア,213716,1968
73,ヨルダン,1167,10
74,アルゼンチン,80447,1582
75,チリ,298557,6384
76,ウクライナ,50053,1278
77,モロッコ,14379,237
78,チュニジア,1199,50
79,ハンガリー,4189,589
80,リヒテンシュタイン,84,1
81,ポーランド,36155,1521
82,スロベニア,1716,111
83,パレスチナ,4341,17
84,ボスニア・ヘルツェゴビナ,5458,199
85,南アフリカ,205721,3310
86,ブータン,80,0
87,カメルーン,12592,313
88,トーゴ,680,15
89,セルビア,16420,317
90,スロバキア,1765,28
91,バチカン,12,0
92,コロンビア,117412,4305
93,ペルー,305703,10772
94,コスタリカ,5241,23
95,マルタ,672,9
96,パラグアイ,2456,20
97,バングラデシュ,165618,2096
98,モルドバ,17906,592
99,ブルガリア,5914,250
100,モルディブ,2491,12
101,ブルネイ,141,3
102,キプロス,1004,19
103,アルバニア,2964,79
104,ブルキナファソ,1000,53
105,モンゴル,225,0
106,パナマ,39334,770
107,ボリビア,40509,1476
108,ホンジュラス,24665,656
109,コンゴ民主共和国,7432,182
110,ジャマイカ,737,10
111,トルコ,206844,5241
112,コートジボワール,10966,75
113,ガイアナ,273,15
114,キューバ,2380,86
115,トリニダード・トバゴ,133,8
116,スーダン,9894,616
117,ギニア,5610,34
118,エチオピア,5846,103
119,ケニア,8067,164
120,グアテマラ,23972,981
121,ベネズエラ,7411,68
122,ガボン,5743,46
123,ガーナ,21077,129
124,アンティグア・バーブーダ,70,3
125,カザフスタン,49683,264
126,ウルグアイ,960,29
127,ナミビア,485,0
128,セーシェル,81,0
129,セントルシア,22,0
130,ルワンダ,1113,3
131,エスワティニ,1011,13
132,スリナム,614,14
133,モーリタニア,4948,133
134,コソボ,3508,75
135,コンゴ共和国,1557,44
136,セントビンセント及びクレナディーン諸島,29,0
137,中央アフリカ,4033,52
138,ウズベキスタン,10362,37
139,赤道ギニア,3071,51
140,リベリア,891,39
141,タンザニア,509,21
142,ソマリア,3006,92
143,ベナン,1199,21
144,バハマ,104,11
145,モンテネグロ,841,14
146,バルバドス,98,7
147,キルギス,8141,99
148,ザンビア,1632,30
149,ジブチ,4822,55
150,ガンビア,61,3
151,モーリシャス,342,10
152,フィジー,21,0
153,エルサルバドル,8027,223
154,チャド,872,74
155,ニカラグア,2519,83
156,マダガスカル,3250,33
157,ハイチ,6371,113
158,アンゴラ,346,19
159,ニジェール,1093,68
160,パプアニューギニア,11,0
161,ジンバブエ,734,9
162,カーボベルデ,1463,17
163,エリトリア,215,0
164,東ティモール,24,0
165,ウガンダ,953,0
166,シリア,372,14
167,モザンビーク,1012,8
168,グレナダ,23,0
169,ベリーズ,30,2
170,ミャンマー,316,6
171,ドミニカ国,18,0
172,ラオス,19,0
173,ギニアビサウ,1790,25
174,マリ,2331,119
175,セントクリストファー・ネービス,16,0
176,リビア,1117,34
177,シエラレオネ,1547,62
178,ブルンジ,191,1
179,ボツワナ,314,1
180,マラウイ,1742,19
181,西サハラ,10,1
182,南スーダン共和国,2021,38
183,サントメ・プリンシペ,721,13
184,イエメン共和国,1284,345
185,タジキスタン共和国,6262,53
186,コモロ連合,311,7
187,レソト王国,91,0
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,11581544,537748
