,Country,Infected,Deaths
0,中国,83594,4634
1,香港,1431,7
2,マカオ,46,0
3,日本,21502,982
4,韓国,13417,289
5,台湾,451,7
6,シンガポール,45783,26
7,ネパール,16719,38
8,タイ,3216,58
9,ベトナム,370,0
10,マレーシア,8704,122
11,豪州,9797,108
12,米国,3245925,134777
13,カナダ,109150,8818
14,フランス,170835,30004
15,ドイツ,199709,9070
16,カンボジア,156,0
17,スリランカ,2511,11
18,アラブ首長国連邦,54453,331
19,フィンランド,7291,329
20,フィリピン,54222,1372
21,インド,849522,22673
22,イタリア,242827,34945
23,英国,290504,44883
24,ロシア,719449,11188
25,スウェーデン,74898,5526
26,スペイン,253908,28403
27,ベルギー,62469,9782
28,エジプト,81158,3769
29,イラン,255117,12635
30,イスラエル,37464,354
31,レバノン,2168,36
32,クウェート,54058,386
33,バーレーン,32470,104
34,オマーン,54697,248
35,アフガニスタン,34366,994
36,イラク,75194,3055
37,アルジェリア,18712,1004
38,オーストリア,18783,706
39,スイス,32605,1685
40,クロアチア,3672,118
41,ブラジル,1839850,71469
42,ジョージア,981,15
43,パキスタン,248872,5197
44,北マケドニア,7975,376
45,ギリシア,3772,193
46,ノルウェー,8977,252
47,ルーマニア,32079,1871
48,デンマーク,13147,609
49,エストニア,2014,69
50,オランダ,51136,6156
51,サンマリノ,699,42
52,リトアニア,1865,79
53,ナイジェリア,31987,724
54,アイスランド,1888,10
55,アゼルバイジャン,23521,298
56,ベラルーシ,64767,459
57,ニュージーランド,1544,22
58,メキシコ,295268,34730
59,カタール,103128,146
60,ルクセンブルク,4842,110
61,モナコ,109,4
62,エクアドル,67209,5031
63,アイルランド,25611,1746
64,チェコ,13115,352
65,アルメニア,31392,559
66,ドミニカ共和国,43114,880
67,インドネシア,74018,3535
68,アンドラ,855,52
69,ポルトガル,46221,1654
70,ラトビア,1173,30
71,セネガル,8014,145
72,サウジアラビア,229480,2181
73,ヨルダン,1176,10
74,アルゼンチン,97509,1810
75,チリ,312029,6881
76,ウクライナ,53941,1389
77,モロッコ,15542,245
78,チュニジア,1245,50
79,ハンガリー,4229,595
80,リヒテンシュタイン,84,1
81,ポーランド,37521,1568
82,スロベニア,1827,111
83,パレスチナ,5931,33
84,ボスニア・ヘルツェゴビナ,6719,219
85,南アフリカ,264184,3971
86,ブータン,82,0
87,カメルーン,15173,359
88,トーゴ,710,15
89,セルビア,18073,382
90,スロバキア,1893,28
91,バチカン,12,0
92,コロンビア,140776,5202
93,ペルー,322710,11682
94,コスタリカ,7231,28
95,マルタ,674,9
96,パラグアイ,2820,21
97,バングラデシュ,181129,2305
98,モルドバ,19208,640
99,ブルガリア,7175,267
100,モルディブ,2664,13
101,ブルネイ,141,3
102,キプロス,1014,19
103,アルバニア,3371,89
104,ブルキナファソ,1033,53
105,モンゴル,230,0
106,パナマ,44332,893
107,ボリビア,47200,1754
108,ホンジュラス,27583,771
109,コンゴ民主共和国,7971,189
110,ジャマイカ,758,10
111,トルコ,211981,5344
112,コートジボワール,12443,82
113,ガイアナ,291,17
114,キューバ,2420,87
115,トリニダード・トバゴ,133,8
116,スーダン,10250,650
117,ギニア,6044,37
118,エチオピア,7402,124
119,ケニア,9726,184
120,グアテマラ,28598,1172
121,ベネズエラ,9178,85
122,ガボン,5942,46
123,ガーナ,24248,135
124,アンティグア・バーブーダ,74,3
125,カザフスタン,58253,264
126,ウルグアイ,986,30
127,ナミビア,668,1
128,セーシェル,100,0
129,セントルシア,22,0
130,ルワンダ,1299,4
131,エスワティニ,1311,18
132,スリナム,741,18
133,モーリタニア,5275,147
134,コソボ,4715,101
135,コンゴ共和国,2028,47
136,セントビンセント及びクレナディーン諸島,29,0
137,中央アフリカ,4288,53
138,ウズベキスタン,12513,57
139,赤道ギニア,3071,51
140,リベリア,998,47
141,タンザニア,509,21
142,ソマリア,3051,92
143,ベナン,1378,26
144,バハマ,111,11
145,モンテネグロ,1164,23
146,バルバドス,103,7
147,キルギス,10410,129
148,ザンビア,1895,42
149,ジブチ,4968,56
150,ガンビア,64,3
151,モーリシャス,342,10
152,フィジー,26,0
153,エルサルバドル,9391,254
154,チャド,874,74
155,ニカラグア,2846,91
156,マダガスカル,4578,34
157,ハイチ,6690,139
158,アンゴラ,462,23
159,ニジェール,1099,68
160,パプアニューギニア,11,0
161,ジンバブエ,982,18
162,カーボベルデ,1623,19
163,エリトリア,232,0
164,東ティモール,24,0
165,ウガンダ,1013,0
166,シリア,394,16
167,モザンビーク,1135,9
168,グレナダ,23,0
169,ベリーズ,37,2
170,ミャンマー,330,6
171,ドミニカ国,18,0
172,ラオス,19,0
173,ギニアビサウ,1842,26
174,マリ,2406,121
175,セントクリストファー・ネービス,17,0
176,リビア,1389,38
177,シエラレオネ,1618,63
178,ブルンジ,191,1
179,ボツワナ,314,1
180,マラウイ,2261,33
181,西サハラ,10,1
182,南スーダン共和国,2021,38
183,サントメ・プリンシペ,727,14
184,イエメン共和国,1389,365
185,タジキスタン共和国,6506,55
186,コモロ連合,317,7
187,レソト王国,184,1
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,12680588,564852
