,Country,Infected,Deaths
0,中国,83959,4634
1,香港,2779,22
2,マカオ,46,0
3,日本,30961,998
4,韓国,14203,300
5,台湾,462,7
6,シンガポール,50838,27
7,ネパール,18752,48
8,タイ,3297,58
9,ベトナム,431,0
10,マレーシア,8904,124
11,豪州,15303,167
12,米国,4290259,148011
13,カナダ,116471,8945
14,フランス,180612,30192
15,ドイツ,207112,9125
16,カンボジア,226,0
17,スリランカ,2805,11
18,アラブ首長国連邦,59177,345
19,フィンランド,7398,329
20,フィリピン,82040,1945
21,インド,1480073,33408
22,イタリア,246286,35112
23,英国,301708,45844
24,ロシア,816680,13334
25,スウェーデン,79395,5700
26,スペイン,272421,28432
27,ベルギー,66428,9822
28,エジプト,92482,4652
29,イラン,293606,15912
30,イスラエル,63985,474
31,レバノン,3882,51
32,クウェート,64379,438
33,バーレーン,39482,141
34,オマーン,77058,393
35,アフガニスタン,36263,1269
36,イラク,112585,4458
37,アルジェリア,27973,1163
38,オーストリア,20558,713
39,スイス,34325,1700
40,クロアチア,4881,139
41,ブラジル,2442375,87618
42,ジョージア,1137,16
43,パキスタン,274289,5842
44,北マケドニア,10213,466
45,ギリシア,4227,202
46,ノルウェー,9132,255
47,ルーマニア,45902,2206
48,デンマーク,13775,613
49,エストニア,2034,69
50,オランダ,53424,6160
51,サンマリノ,699,42
52,リトアニア,2019,80
53,ナイジェリア,41180,860
54,アイスランド,1854,10
55,アゼルバイジャン,30446,423
56,ベラルーシ,67251,538
57,ニュージーランド,1557,22
58,メキシコ,395489,44022
59,カタール,109597,165
60,ルクセンブルク,6321,112
61,モナコ,116,4
62,エクアドル,81161,5532
63,アイルランド,25892,1764
64,チェコ,15516,373
65,アルメニア,37390,711
66,ドミニカ共和国,64156,1083
67,インドネシア,100303,4838
68,アンドラ,907,52
69,ポルトガル,50299,1719
70,ラトビア,1219,31
71,セネガル,9764,194
72,サウジアラビア,268934,2760
73,ヨルダン,1176,11
74,アルゼンチン,167416,3059
75,チリ,347923,9187
76,ウクライナ,67096,1636
77,モロッコ,20887,316
78,チュニジア,1455,50
79,ハンガリー,4448,596
80,リヒテンシュタイン,86,1
81,ポーランド,43402,1676
82,スロベニア,2087,116
83,パレスチナ,10621,78
84,ボスニア・ヘルツェゴビナ,10498,294
85,南アフリカ,452529,7067
86,ブータン,99,0
87,カメルーン,17110,391
88,トーゴ,874,18
89,セルビア,24141,543
90,スロバキア,2181,28
91,バチカン,12,0
92,コロンビア,257101,8777
93,ペルー,389717,18418
94,コスタリカ,15841,115
95,マルタ,701,9
96,パラグアイ,4548,43
97,バングラデシュ,226225,2965
98,モルドバ,23154,748
99,ブルガリア,10621,347
100,モルディブ,3369,15
101,ブルネイ,141,3
102,キプロス,1060,19
103,アルバニア,4880,144
104,ブルキナファソ,1100,53
105,モンゴル,289,0
106,パナマ,61442,1322
107,ボリビア,71181,2647
108,ホンジュラス,39741,1166
109,コンゴ民主共和国,8844,208
110,ジャマイカ,853,10
111,トルコ,227019,5630
112,コートジボワール,15655,96
113,ガイアナ,389,20
114,キューバ,2532,87
115,トリニダード・トバゴ,148,8
116,スーダン,11424,720
117,ギニア,7055,45
118,エチオピア,14547,228
119,ケニア,17975,285
120,グアテマラ,45309,1761
121,ベネズエラ,15988,146
122,ガボン,7189,49
123,ガーナ,33624,168
124,アンティグア・バーブーダ,86,3
125,カザフスタン,84648,585
126,ウルグアイ,1202,35
127,ナミビア,1843,8
128,セーシェル,114,0
129,セントルシア,24,0
130,ルワンダ,1879,5
131,エスワティニ,2316,34
132,スリナム,1483,24
133,モーリタニア,6208,156
134,コソボ,7413,185
135,コンゴ共和国,3200,54
136,セントビンセント及びクレナディーン諸島,52,0
137,中央アフリカ,4599,59
138,ウズベキスタン,21209,121
139,赤道ギニア,3071,51
140,リベリア,1167,72
141,タンザニア,509,21
142,ソマリア,3196,93
143,ベナン,1770,35
144,バハマ,382,11
145,モンテネグロ,2893,45
146,バルバドス,110,7
147,キルギス,33296,1301
148,ザンビア,4552,140
149,ジブチ,5059,58
150,ガンビア,326,8
151,モーリシャス,344,10
152,フィジー,27,0
153,エルサルバドル,15035,408
154,チャド,922,75
155,ニカラグア,3439,108
156,マダガスカル,9690,91
157,ハイチ,7340,158
158,アンゴラ,950,41
159,ニジェール,1132,69
160,パプアニューギニア,62,0
161,ジンバブエ,2704,36
162,カーボベルデ,2328,22
163,エリトリア,265,0
164,東ティモール,24,0
165,ウガンダ,1128,2
166,シリア,674,40
167,モザンビーク,1701,11
168,グレナダ,23,0
169,ベリーズ,48,2
170,ミャンマー,350,6
171,ドミニカ国,18,0
172,ラオス,20,0
173,ギニアビサウ,1954,26
174,マリ,2513,124
175,セントクリストファー・ネービス,17,0
176,リビア,2827,64
177,シエラレオネ,1783,66
178,ブルンジ,378,1
179,ボツワナ,739,2
180,マラウイ,3664,99
181,西サハラ,10,1
182,南スーダン共和国,2305,46
183,サントメ・プリンシペ,865,14
184,イエメン共和国,1691,483
185,タジキスタン共和国,7235,60
186,コモロ連合,354,7
187,レソト王国,505,12
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,16441158,653754
