,Country,Infected,Deaths
0,中国,80928,3245
1,香港,192,4
2,マカオ,15,0
3,日本,914,29
4,韓国,8565,91
5,台湾,100,1
6,シンガポール,313,0
7,ネパール,1,0
8,タイ,212,1
9,ベトナム,75,0
10,マレーシア,790,2
11,豪州,568,6
12,米国,7786,150
13,カナダ,621,9
14,フランス,8198,264
15,ドイツ,8198,13
16,カンボジア,35,0
17,スリランカ,51,0
18,アラブ首長国連邦,113,0
19,フィンランド,336,0
20,フィリピン,202,17
21,インド,156,3
22,イタリア,35713,2978
23,英国,2626,108
24,ロシア,147,0
25,スウェーデン,1279,8
26,スペイン,13716,598
27,ベルギー,1486,5
28,エジプト,196,4
29,イラン,17361,1135
30,イスラエル,433,0
31,レバノン,133,3
32,クウェート,142,0
33,バーレーン,256,1
34,オマーン,39,0
35,アフガニスタン,22,0
36,イラク,164,12
37,アルジェリア,74,7
38,オーストリア,1646,4
39,スイス,2772,21
40,クロアチア,81,0
41,ブラジル,372,3
42,ジョージア,38,0
43,パキスタン,299,0
44,北マケドニア,35,0
45,ギリシア,418,5
46,ノルウェー,1423,3
47,ルーマニア,260,0
48,デンマーク,960,4
49,エストニア,258,0
50,オランダ,2051,58
51,サンマリノ,119,11
52,リトアニア,27,0
53,ナイジェリア,8,0
54,アイスランド,250,0
55,アゼルバイジャン,28,1
56,ベラルーシ,51,0
57,ニュージーランド,20,0
58,メキシコ,93,0
59,カタール,452,0
60,ルクセンブルク,203,1
61,モナコ,7,0
62,エクアドル,111,2
63,アイルランド,292,2
64,チェコ,464,0
65,アルメニア,84,0
66,ドミニカ共和国,21,1
67,インドネシア,227,19
68,アンドラ,53,0
69,ポルトガル,448,1
70,ラトビア,71,0
71,セネガル,31,0
72,サウジアラビア,171,0
73,ヨルダン,52,0
74,アルゼンチン,79,2
75,チリ,238,0
76,ウクライナ,16,2
77,モロッコ,49,2
78,チュニジア,29,0
79,ハンガリー,58,1
80,リヒテンシュタイン,28,0
81,ポーランド,251,5
82,スロベニア,275,1
83,パレスチナ,41,0
84,ボスニア・ヘルツェゴビナ,38,0
85,南アフリカ,116,0
86,ジブラルタル（英領）,3,0
87,ブータン,1,0
88,カメルーン,10,0
89,トーゴ,1,0
90,セルビア,83,0
91,スロバキア,105,0
92,バチカン,1,0
93,コロンビア,93,0
94,ペルー,145,0
95,コスタリカ,50,0
96,マルタ,38,0
97,パラグアイ,11,0
98,バングラデシュ,14,0
99,モルドバ,30,0
100,ブルガリア,92,2
101,モルディブ,13,0
102,ブルネイ,68,0
103,キプロス,49,0
104,アルバニア,59,2
105,ブルキナファソ,20,1
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,6,0
108,パナマ,86,1
109,ボリビア,12,0
110,ホンジュラス,9,0
111,コンゴ民主共和国,4,0
112,ジャマイカ,13,0
113,トルコ,191,2
114,コートジボワール,9,0
115,ガイアナ,7,1
116,ガーンジー（英領）,1,0
117,ジャージー（英領）,5,0
118,ケイマン諸島（英領）,1,0
119,キューバ,7,0
120,トリニダード・トバゴ,7,0
121,スーダン,2,1
122,ギニア,1,0
123,エチオピア,6,0
124,ケニア,3,0
125,グアテマラ,6,1
126,ベネズエラ,36,0
127,ガボン,1,0
128,ガーナ,7,0
129,アンティグア・バーブーダ,1,0
130,カザフスタン,35,0
131,ウルグアイ,50,0
132,アルバ,4,0
133,ナミビア,2,0
134,セーシェル,4,0
135,セントルシア,2,0
136,ルワンダ,8,0
137,エスワティニ,1,0
138,キュラソー,3,0
139,スリナム,1,0
140,モーリタニア,1,0
141,コソボ,2,0
142,コンゴ共和国,1,0
143,セントビンセント及びクレナディーン諸島,1,0
144,中央アフリカ,1,0
145,ウズベキスタン,15,0
146,赤道ギニア,4,0
147,プエルトリコ,3,0
148,リベリア,2,0
149,タンザニア,3,0
150,グリーンランド,1,0
151,ソマリア,1,0
152,ベナン,2,0
153,バハマ,1,0
154,モンテネグロ,2,0
155,バルバドス（英領）,2,0
156,キルギス,3,0
157,ザンビア,2,0
158,ジブチ,1,0
159,ガンビア,1,0
160,その他,712,7
161,計,210469,8873
