,Country,Infected,Deaths
0,中国,86267,4634
1,香港,5381,107
2,マカオ,46,0
3,日本,108983,1829
4,韓国,27653,485
5,台湾,578,7
6,シンガポール,58064,28
7,ネパール,197024,1126
8,タイ,3844,60
9,ベトナム,1215,35
10,マレーシア,41181,294
11,豪州,27669,907
12,米国,10111077,238256
13,カナダ,272034,10620
14,フランス,1797348,40478
15,ドイツ,689146,11408
16,カンボジア,300,0
17,スリランカ,14285,36
18,アラブ首長国連邦,143289,515
19,フィンランド,17887,363
20,フィリピン,398449,7647
21,インド,8591730,127059
22,イタリア,960373,41750
23,英国,1216747,49329
24,ロシア,1781997,30546
25,スウェーデン,146461,6022
26,スペイン,1381218,39345
27,ベルギー,503182,13216
28,エジプト,109422,6380
29,イラン,692949,38749
30,イスラエル,320184,2678
31,レバノン,95355,732
32,クウェート,132478,816
33,バーレーン,83632,329
34,オマーン,118503,1310
35,アフガニスタン,42297,1574
36,イラク,501733,11380
37,アルジェリア,62693,2062
38,オーストリア,158746,1454
39,スイス,211160,2404
40,クロアチア,68776,832
41,ブラジル,5675032,162628
42,ジョージア,60680,499
43,パキスタン,346476,7000
44,北マケドニア,40275,1156
45,ギリシア,58187,825
46,ノルウェー,25325,285
47,ルーマニア,306991,8009
48,デンマーク,56406,747
49,エストニア,6250,76
50,オランダ,421503,8112
51,サンマリノ,1114,42
52,リトアニア,25755,210
53,ナイジェリア,64184,1158
54,アイスランド,5101,23
55,アゼルバイジャン,66046,852
56,ベラルーシ,107262,1011
57,ニュージーランド,1987,25
58,メキシコ,967825,95027
59,カタール,134433,232
60,ルクセンブルク,23227,193
61,モナコ,490,2
62,エクアドル,175269,12839
63,アイルランド,65659,1948
64,チェコ,417181,5028
65,アルメニア,107466,1580
66,ドミニカ共和国,130603,2267
67,インドネシア,440569,14689
68,アンドラ,5437,75
69,ポルトガル,183420,2959
70,ラトビア,8187,101
71,セネガル,15711,326
72,サウジアラビア,350984,5559
73,ヨルダン,114986,1295
74,アルゼンチン,1250499,33907
75,チリ,522879,14588
76,ウクライナ,483153,8812
77,モロッコ,259951,4356
78,チュニジア,71569,1920
79,ハンガリー,114778,2493
80,リヒテンシュタイン,801,4
81,ポーランド,568138,8045
82,スロベニア,45625,578
83,パレスチナ,58838,521
84,ボスニア・ヘルツェゴビナ,63419,1583
85,南アフリカ,738525,19845
86,ブータン,364,0
87,カメルーン,22421,433
88,トーゴ,2523,57
89,セルビア,64065,901
90,スロバキア,76072,366
91,バチカン,27,0
92,コロンビア,1149064,32974
93,ペルー,922333,34879
94,コスタリカ,117587,1491
95,マルタ,7243,78
96,パラグアイ,67948,1502
97,バングラデシュ,421921,6092
98,モルドバ,82677,1912
99,ブルガリア,78976,1771
100,モルディブ,12009,40
101,ブルネイ,148,3
102,キプロス,6098,28
103,アルバニア,24731,571
104,ブルキナファソ,2581,67
105,モンゴル,368,0
106,パナマ,140331,2808
107,ボリビア,142561,8802
108,ホンジュラス,100573,2765
109,コンゴ民主共和国,11608,316
110,ジャマイカ,9542,221
111,トルコ,396831,10972
112,コートジボワール,20835,126
113,ガイアナ,4524,135
114,キューバ,7349,130
115,トリニダード・トバゴ,5849,111
116,スーダン,14155,1116
117,ギニア,12459,74
118,エチオピア,99982,1530
119,ケニア,63244,1130
120,グアテマラ,111360,3823
121,ベネズエラ,95149,830
122,ガボン,9029,57
123,ガーナ,49202,320
124,アンティグア・バーブーダ,131,3
125,カザフスタン,117336,1857
126,ウルグアイ,3560,62
127,ナミビア,13240,134
128,セーシェル,158,0
129,セントルシア,141,0
130,ルワンダ,5242,38
131,エスワティニ,6013,117
132,スリナム,5241,113
133,モーリタニア,7833,165
134,コソボ,24792,768
135,コンゴ共和国,5379,92
136,セントビンセント及びクレナディーン諸島,76,0
137,中央アフリカ,4880,62
138,ウズベキスタン,69027,588
139,赤道ギニア,5092,85
140,リベリア,1452,82
141,タンザニア,509,21
142,ソマリア,4301,107
143,ベナン,2781,43
144,バハマ,6964,154
145,モンテネグロ,23608,342
146,バルバドス,243,7
147,キルギス,63390,1182
148,ザンビア,16971,349
149,ジブチ,5627,61
150,ガンビア,3696,122
151,モーリシャス,453,10
152,フィジー,34,2
153,エルサルバドル,35145,1014
154,チャド,1551,99
155,ニカラグア,5591,157
156,マダガスカル,17223,249
157,ハイチ,9137,232
158,アンゴラ,12680,308
159,ニジェール,1246,69
160,パプアニューギニア,599,7
161,ジンバブエ,8561,254
162,カーボベルデ,9419,100
163,エリトリア,491,0
164,東ティモール,30,0
165,ウガンダ,14574,133
166,シリア,6284,321
167,モザンビーク,13823,99
168,グレナダ,32,0
169,ベリーズ,4230,71
170,ミャンマー,61975,1437
171,ドミニカ国,63,0
172,ラオス,24,0
173,ギニアビサウ,2419,43
174,マリ,3712,137
175,セントクリストファー・ネービス,19,0
176,リビア,69040,944
177,シエラレオネ,2385,74
178,ブルンジ,614,1
179,ボツワナ,7835,27
180,マラウイ,5953,185
181,西サハラ,10,1
182,南スーダン共和国,2960,59
183,サントメ・プリンシペ,962,16
184,イエメン共和国,2071,605
185,タジキスタン共和国,11376,83
186,コモロ連合,563,7
187,レソト王国,1967,44
188,ソロモン諸島,16,0
189,マーシャル諸島共和国,1,0
190,ダイヤモンド・プリンセス,712,13
191,その他,9,2
192,計,50836763,1262020
