,Country,Infected,Deaths
0,中国,81340,3292
1,香港,453,4
2,マカオ,33,0
3,日本,1387,46
4,韓国,9332,139
5,台湾,252,2
6,シンガポール,683,2
7,ネパール,3,0
8,タイ,1045,4
9,ベトナム,153,0
10,マレーシア,2031,23
11,豪州,2985,13
12,米国,85505,1288
13,カナダ,4018,39
14,フランス,29155,1696
15,ドイツ,43938,267
16,カンボジア,96,0
17,スリランカ,106,0
18,アラブ首長国連邦,333,2
19,フィンランド,958,5
20,フィリピン,707,45
21,インド,722,16
22,イタリア,80589,8165
23,英国,11658,578
24,ロシア,840,3
25,スウェーデン,2806,66
26,スペイン,56188,4089
27,ベルギー,6235,220
28,エジプト,495,24
29,イラン,29406,2234
30,イスラエル,2693,8
31,レバノン,368,6
32,クウェート,208,0
33,バーレーン,458,4
34,オマーン,109,0
35,アフガニスタン,94,4
36,イラク,382,36
37,アルジェリア,367,25
38,オーストリア,6398,49
39,スイス,10714,161
40,クロアチア,495,3
41,ブラジル,2915,77
42,ジョージア,79,0
43,パキスタン,1179,9
44,北マケドニア,201,3
45,ギリシア,892,26
46,ノルウェー,3156,14
47,ルーマニア,1029,23
48,デンマーク,2023,41
49,エストニア,538,1
50,オランダ,7431,434
51,サンマリノ,208,21
52,リトアニア,299,4
53,ナイジェリア,65,1
54,アイスランド,802,2
55,アゼルバイジャン,122,3
56,ベラルーシ,86,0
57,ニュージーランド,283,0
58,メキシコ,475,6
59,カタール,549,0
60,ルクセンブルク,1453,9
61,モナコ,33,0
62,エクアドル,1403,34
63,アイルランド,1819,19
64,チェコ,1925,9
65,アルメニア,290,0
66,ドミニカ共和国,488,10
67,インドネシア,893,78
68,アンドラ,224,3
69,ポルトガル,3544,60
70,ラトビア,244,0
71,セネガル,105,0
72,サウジアラビア,1012,3
73,ヨルダン,212,0
74,アルゼンチン,502,9
75,チリ,1306,4
76,ウクライナ,196,5
77,モロッコ,275,10
78,チュニジア,197,6
79,ハンガリー,261,10
80,リヒテンシュタイン,56,0
81,ポーランド,1221,16
82,スロベニア,562,6
83,パレスチナ,64,1
84,ボスニア・ヘルツェゴビナ,191,3
85,南アフリカ,927,0
86,ジブラルタル（英領）,26,0
87,ブータン,2,0
88,カメルーン,75,1
89,トーゴ,23,0
90,セルビア,384,6
91,スロバキア,226,0
92,バチカン,4,0
93,コロンビア,491,6
94,ペルー,580,9
95,コスタリカ,231,2
96,マルタ,134,0
97,パラグアイ,41,3
98,バングラデシュ,44,5
99,モルドバ,177,1
100,ブルガリア,264,3
101,モルディブ,13,0
102,ブルネイ,114,0
103,キプロス,146,3
104,アルバニア,174,6
105,ブルキナファソ,152,7
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,11,0
108,パナマ,558,8
109,ボリビア,43,0
110,ホンジュラス,52,1
111,コンゴ民主共和国,51,3
112,ジャマイカ,26,1
113,トルコ,3629,75
114,コートジボワール,96,0
115,ガイアナ,5,1
116,ガーンジー（英領）,30,0
117,ジャージー（英領）,18,0
118,ケイマン諸島（英領）,8,1
119,キューバ,67,1
120,トリニダード・トバゴ,65,1
121,スーダン,3,1
122,ギニア,4,0
123,エチオピア,12,0
124,ケニア,31,1
125,グアテマラ,24,1
126,ベネズエラ,107,0
127,ガボン,7,1
128,ガーナ,132,4
129,アンティグア・バーブーダ,7,0
130,カザフスタン,111,0
131,ウルグアイ,217,0
132,アルバ,19,0
133,ナミビア,8,0
134,セーシェル,7,0
135,セントルシア,3,0
136,ルワンダ,41,0
137,エスワティニ,6,0
138,キュラソー,6,1
139,スリナム,8,0
140,モーリタニア,3,0
141,コソボ,71,1
142,コンゴ共和国,4,0
143,セントビンセント及び,1,0
144,中央アフリカ,5,0
145,ウズベキスタン,75,0
146,赤道ギニア,12,0
147,リベリア,3,0
148,タンザニア,13,0
149,ソマリア,2,0
150,ベナン,6,0
151,バハマ,9,0
152,モンテネグロ,69,1
153,バルバドス（英領）,18,0
154,キルギス,44,0
155,ザンビア,16,0
156,ジブチ,11,0
157,ガンビア,3,1
158,モーリシャス,81,2
159,フィジー,5,0
160,エルサルバドル,13,0
161,チャド,3,0
162,ニカラグア,2,0
163,モントセラト（英領）,2,0
164,マダガスカル,23,0
165,ハイチ,8,0
166,アンゴラ,4,0
167,ニジェール,10,0
168,パプアニューギニア,1,0
169,ジンバブエ,3,1
170,カーボベルデ,4,0
171,エリトリア,6,0
172,東ティモール,1,0
173,マン島（英王室属領）,23,0
174,ウガンダ,14,0
175,ニューカレドニア,14,0
176,シリア,5,0
177,モザンビーク,7,0
178,グレナダ,7,0
179,ベリーズ,2,0
180,バミューダ（英領）,7,0
181,ミャンマー,3,0
182,ドミニカ国,11,0
183,ラオス,6,0
184,タークス・カイコス諸島,1,0
185,ギニアビサウ,2,0
186,マリ,4,0
187,セントクリストファー・,2,0
188,リビア,1,0
189,その他,712,10
190,計,527539,23687
