,Country,Infected,Deaths
0,中国,85307,4634
1,香港,5047,103
2,マカオ,46,0
3,日本,79768,1512
4,韓国,23216,388
5,台湾,509,7
6,シンガポール,57627,27
7,ネパール,66632,429
8,タイ,3514,59
9,ベトナム,1068,35
10,マレーシア,10358,130
11,豪州,26972,859
12,米国,6896218,200786
13,カナダ,148855,9286
14,フランス,459419,31340
15,ドイツ,277412,9405
16,カンボジア,275,0
17,スリランカ,3313,13
18,アラブ首長国連邦,86447,405
19,フィンランド,9195,341
20,フィリピン,291789,5049
21,インド,5562663,88935
22,イタリア,300897,35738
23,英国,406058,41951
24,ロシア,1111157,19575
25,スウェーデン,89436,5870
26,スペイン,682267,30904
27,ベルギー,105226,9955
28,エジプト,102254,5806
29,イラン,429193,24656
30,イスラエル,193374,1285
31,レバノン,30852,315
32,クウェート,100683,588
33,バーレーン,66402,227
34,オマーン,94711,865
35,アフガニスタン,39096,1445
36,イラク,327580,8682
37,アルジェリア,50214,1689
38,オーストリア,39303,771
39,スイス,50264,1769
40,クロアチア,15136,255
41,ブラジル,4591364,138105
42,ジョージア,3913,23
43,パキスタン,307418,6432
44,北マケドニア,16867,705
45,ギリシア,15928,352
46,ノルウェー,13153,267
47,ルーマニア,114648,4503
48,デンマーク,24261,641
49,エストニア,2976,64
50,オランダ,102844,6338
51,サンマリノ,723,42
52,リトアニア,3859,87
53,ナイジェリア,57613,1100
54,アイスランド,2419,10
55,アゼルバイジャン,39378,578
56,ベラルーシ,76104,791
57,ニュージーランド,1824,25
58,メキシコ,705263,74348
59,カタール,123917,211
60,ルクセンブルク,8016,124
61,モナコ,197,1
62,エクアドル,127643,11126
63,アイルランド,33444,1792
64,チェコ,53158,531
65,アルメニア,47667,938
66,ドミニカ共和国,109269,2064
67,インドネシア,252923,9837
68,アンドラ,1681,53
69,ポルトガル,69663,1925
70,ラトビア,1560,36
71,セネガル,14759,302
72,サウジアラビア,330798,4542
73,ヨルダン,5679,33
74,アルゼンチン,652174,13952
75,チリ,448523,12321
76,ウクライナ,185890,3716
77,モロッコ,105346,1889
78,チュニジア,11260,164
79,ハンガリー,19499,694
80,リヒテンシュタイン,115,1
81,ポーランド,80699,2316
82,スロベニア,4558,142
83,パレスチナ,36580,269
84,ボスニア・ヘルツェゴビナ,25737,778
85,南アフリカ,663282,16118
86,ブータン,261,0
87,カメルーン,20598,416
88,トーゴ,1683,41
89,セルビア,32999,743
90,スロバキア,6931,40
91,バチカン,12,0
92,コロンビア,777537,24397
93,ペルー,768895,31369
94,コスタリカ,66689,760
95,マルタ,2814,23
96,パラグアイ,34828,705
97,バングラデシュ,352178,5007
98,モルドバ,47446,1230
99,ブルガリア,19123,767
100,モルディブ,9818,34
101,ブルネイ,145,3
102,キプロス,1618,22
103,アルバニア,12666,367
104,ブルキナファソ,1907,56
105,モンゴル,313,0
106,パナマ,107284,2285
107,ボリビア,131453,7693
108,ホンジュラス,72306,2206
109,コンゴ民主共和国,10523,271
110,ジャマイカ,5270,75
111,トルコ,306302,7639
112,コートジボワール,19343,120
113,ガイアナ,2437,67
114,キューバ,5222,117
115,トリニダード・トバゴ,4026,65
116,スーダン,13578,836
117,ギニア,10387,65
118,エチオピア,70422,1127
119,ケニア,37218,659
120,グアテマラ,86623,3137
121,ベネズエラ,68453,564
122,ガボン,8704,54
123,ガーナ,46062,297
124,アンティグア・バーブーダ,96,3
125,カザフスタン,107450,1699
126,ウルグアイ,1934,46
127,ナミビア,10607,116
128,セーシェル,143,0
129,セントルシア,27,0
130,ルワンダ,4738,27
131,エスワティニ,5307,106
132,スリナム,4759,100
133,モーリタニア,7403,161
134,コソボ,12683,488
135,コンゴ共和国,5002,89
136,セントビンセント及びクレナディーン諸島,64,0
137,中央アフリカ,4802,62
138,ウズベキスタン,52685,442
139,赤道ギニア,5018,83
140,リベリア,1336,82
141,タンザニア,509,21
142,ソマリア,3465,98
143,ベナン,2294,40
144,バハマ,3467,77
145,モンテネグロ,9138,146
146,バルバドス,189,7
147,キルギス,45542,1063
148,ザンビア,14389,331
149,ジブチ,5407,61
150,ガンビア,3540,110
151,モーリシャス,367,10
152,フィジー,32,2
153,エルサルバドル,27954,814
154,チャド,1155,81
155,ニカラグア,5073,149
156,マダガスカル,16136,226
157,ハイチ,8633,223
158,アンゴラ,4236,155
159,ニジェール,1193,69
160,パプアニューギニア,527,7
161,ジンバブエ,7711,226
162,カーボベルデ,5337,52
163,エリトリア,364,0
164,東ティモール,27,0
165,ウガンダ,6712,64
166,シリア,3877,178
167,モザンビーク,7114,45
168,グレナダ,24,0
169,ベリーズ,1635,21
170,ミャンマー,6959,116
171,ドミニカ国,24,0
172,ラオス,23,0
173,ギニアビサウ,2324,39
174,マリ,3030,129
175,セントクリストファー・ネービス,19,0
176,リビア,29446,460
177,シエラレオネ,2174,72
178,ブルンジ,474,1
179,ボツワナ,2567,13
180,マラウイ,5739,179
181,西サハラ,10,1
182,南スーダン共和国,2660,49
183,サントメ・プリンシペ,908,15
184,イエメン共和国,2028,586
185,タジキスタン共和国,9432,73
186,コモロ連合,470,7
187,レソト王国,1424,33
188,ダイヤモンド・プリンセス,712,13
189,その他,9,2
190,計,31468952,969200
