,Country,Infected,Deaths
0,中国,82747,4632
1,香港,1026,4
2,マカオ,45,0
3,日本,10751,171
4,韓国,10674,236
5,台湾,420,6
6,シンガポール,6588,11
7,ネパール,31,0
8,タイ,2765,47
9,ベトナム,268,0
10,マレーシア,5389,88
11,豪州,6547,69
12,米国,759118,40665
13,カナダ,33922,1506
14,フランス,112606,19718
15,ドイツ,145742,4642
16,カンボジア,122,0
17,スリランカ,271,7
18,アラブ首長国連邦,6781,37
19,フィンランド,3783,90
20,フィリピン,6259,409
21,インド,16116,519
22,イタリア,178972,23660
23,英国,120067,16060
24,ロシア,42795,361
25,スウェーデン,14385,1540
26,スペイン,195944,20453
27,ベルギー,38496,5683
28,エジプト,3144,224
29,イラン,80868,5031
30,イスラエル,13491,158
31,レバノン,673,21
32,クウェート,1915,6
33,バーレーン,1881,7
34,オマーン,1266,6
35,アフガニスタン,996,30
36,イラク,1539,82
37,アルジェリア,2629,367
38,オーストリア,14696,452
39,スイス,27661,1134
40,クロアチア,1871,39
41,ブラジル,38654,2462
42,ジョージア,394,4
43,パキスタン,8348,159
44,北マケドニア,1207,49
45,ギリシア,2235,105
46,ノルウェー,7078,148
47,ルーマニア,8746,417
48,デンマーク,7580,346
49,エストニア,1528,38
50,オランダ,32655,3684
51,サンマリノ,461,39
52,リトアニア,1298,33
53,ナイジェリア,627,11
54,アイスランド,1771,9
55,アゼルバイジャン,1398,18
56,ベラルーシ,4779,45
57,ニュージーランド,1431,11
58,メキシコ,7497,546
59,カタール,5448,8
60,ルクセンブルク,3550,72
61,モナコ,94,1
62,エクアドル,9468,456
63,アイルランド,15251,610
64,チェコ,6746,181
65,アルメニア,1291,20
66,ドミニカ共和国,4680,217
67,インドネシア,6575,535
68,アンドラ,713,35
69,ポルトガル,20206,714
70,ラトビア,727,5
71,セネガル,367,3
72,サウジアラビア,9362,92
73,ヨルダン,417,7
74,アルゼンチン,2941,129
75,チリ,10088,126
76,ウクライナ,5449,141
77,モロッコ,2855,137
78,チュニジア,879,37
79,ハンガリー,1916,189
80,リヒテンシュタイン,79,1
81,ポーランド,9287,347
82,スロベニア,1330,70
83,パレスチナ,437,2
84,ボスニア・ヘルツェゴビナ,1285,46
85,南アフリカ,3158,52
86,ジブラルタル（英領）,133,0
87,ブータン,5,0
88,カメルーン,1017,21
89,トーゴ,84,5
90,セルビア,6318,117
91,スロバキア,1161,11
92,バチカン,8,0
93,コロンビア,3792,153
94,ペルー,15628,400
95,コスタリカ,660,4
96,マルタ,427,3
97,パラグアイ,206,8
98,バングラデシュ,2456,84
99,モルドバ,2472,60
100,ブルガリア,894,41
101,モルディブ,52,0
102,ブルネイ,138,1
103,キプロス,767,17
104,アルバニア,562,26
105,ブルキナファソ,576,32
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,32,0
108,パナマ,4273,115
109,ボリビア,520,31
110,ホンジュラス,472,46
111,コンゴ民主共和国,327,25
112,ジャマイカ,173,5
113,トルコ,86306,2017
114,コートジボワール,847,6
115,ガイアナ,65,6
116,ガーンジー（英領）,236,9
117,ジャージー（英領）,234,11
118,ケイマン諸島（英領）,61,1
119,キューバ,1035,32
120,トリニダード・トバゴ,114,8
121,スーダン,66,10
122,ギニア,579,3
123,エチオピア,108,3
124,ケニア,270,12
125,グアテマラ,257,7
126,ベネズエラ,256,9
127,ガボン,109,1
128,ガーナ,1042,9
129,アンティグア・バーブーダ,23,2
130,カザフスタン,1676,17
131,ウルグアイ,512,9
132,アルバ,96,2
133,ナミビア,16,0
134,セーシェル,11,0
135,セントルシア,15,0
136,ルワンダ,147,0
137,エスワティニ,22,1
138,キュラソー,14,1
139,スリナム,10,1
140,モーリタニア,7,1
141,コソボ,510,12
142,コンゴ共和国,143,6
143,セントビンセント及びクレナディーン諸島,12,0
144,中央アフリカ,12,0
145,ウズベキスタン,1565,5
146,赤道ギニア,79,0
147,リベリア,91,7
148,タンザニア,170,5
149,ソマリア,164,7
150,ベナン,35,1
151,バハマ,60,9
152,モンテネグロ,308,5
153,バルバドス,75,5
154,キルギス,554,5
155,ザンビア,61,2
156,ジブチ,846,2
157,ガンビア,10,1
158,モーリシャス,328,9
159,フィジー,17,0
160,エルサルバドル,201,7
161,チャド,33,0
162,ニカラグア,10,1
163,モントセラト（英領）,11,0
164,マダガスカル,121,0
165,ハイチ,47,3
166,アンゴラ,24,2
167,ニジェール,648,19
168,パプアニューギニア,7,0
169,ジンバブエ,25,3
170,カーボベルデ,61,1
171,エリトリア,39,0
172,東ティモール,19,0
173,マン島（英王室属領）,291,4
174,ウガンダ,55,0
175,ニューカレドニア,18,0
176,シリア,39,2
177,モザンビーク,39,0
178,グレナダ,14,0
179,ベリーズ,18,2
180,バミューダ（英領）,83,5
181,ミャンマー,111,5
182,ドミニカ国,16,0
183,ラオス,19,0
184,タークス・カイコス諸島（英領）,11,1
185,ギニアビサウ,50,0
186,マリ,224,13
187,セントクリストファー・ネービス,14,0
188,リビア,51,1
189,アンギラ（英領）,3,0
190,バージン諸島（英領）,3,0
191,シエラレオネ,35,0
192,ブルンジ,5,0
193,ボツワナ,15,1
194,マラウイ,17,2
195,ボネール、シント・ユースタティウス及びサバ,5,0
196,フォークランド諸島（英領）,11,0
197,西サハラ,6,0
198,南スーダン共和国,4,0
199,サントメ・プリンシペ,4,0
200,イエメン共和国,1,0
201,その他,712,13
202,計,2352994,164077
