,Country,Infected,Deaths
0,中国,83036,4634
1,香港,1106,4
2,マカオ,45,0
3,日本,17141,916
4,韓国,11776,273
5,台湾,443,7
6,シンガポール,37527,24
7,ネパール,3235,11
8,タイ,3104,58
9,ベトナム,329,0
10,マレーシア,8303,116
11,豪州,7255,102
12,米国,1919430,109791
13,カナダ,95057,7773
14,フランス,153634,29142
15,ドイツ,185450,8673
16,カンボジア,125,0
17,スリランカ,1814,11
18,アラブ首長国連邦,38268,274
19,フィンランド,6964,322
20,フィリピン,21340,994
21,インド,236657,6642
22,イタリア,234801,33846
23,英国,284868,40465
24,ロシア,458102,5717
25,スウェーデン,43887,4656
26,スペイン,241310,27135
27,ベルギー,59072,9580
28,エジプト,32612,1166
29,イラン,169425,8209
30,イスラエル,17752,291
31,レバノン,1320,28
32,クウェート,31131,244
33,バーレーン,14383,22
34,オマーン,16016,72
35,アフガニスタン,19551,327
36,イラク,11098,285
37,アルジェリア,10050,690
38,オーストリア,16898,672
39,スイス,30874,1659
40,クロアチア,2247,103
41,ブラジル,645771,35026
42,ジョージア,808,13
43,パキスタン,93983,1935
44,北マケドニア,2915,149
45,ギリシア,2980,179
46,ノルウェー,8531,238
47,ルーマニア,20290,1308
48,デンマーク,12124,587
49,エストニア,1931,69
50,オランダ,47152,6005
51,サンマリノ,680,42
52,リトアニア,1705,71
53,ナイジェリア,12233,333
54,アイスランド,1806,10
55,アゼルバイジャン,7239,82
56,ベラルーシ,47751,259
57,ニュージーランド,1504,22
58,メキシコ,110026,13170
59,カタール,67195,51
60,ルクセンブルク,4035,110
61,モナコ,99,1
62,エクアドル,41575,3534
63,アイルランド,25183,1670
64,チェコ,9567,327
65,アルメニア,12364,190
66,ドミニカ共和国,19195,525
67,インドネシア,30514,1770
68,アンドラ,852,51
69,ポルトガル,34351,1465
70,ラトビア,1086,25
71,セネガル,4249,45
72,サウジアラビア,98869,676
73,ヨルダン,795,9
74,アルゼンチン,21037,615
75,チリ,127745,1541
76,ウクライナ,27101,777
77,モロッコ,8151,208
78,チュニジア,1087,49
79,ハンガリー,3990,542
80,リヒテンシュタイン,82,1
81,ポーランド,25986,1137
82,スロベニア,1484,108
83,パレスチナ,464,5
84,ボスニア・ヘルツェゴビナ,2606,158
85,南アフリカ,45973,908
86,ジブラルタル（英領）,174,0
87,ブータン,48,0
88,カメルーン,7599,205
89,トーゴ,487,13
90,セルビア,11741,247
91,スロバキア,1528,28
92,バチカン,12,0
93,コロンビア,36759,1087
94,ペルー,191758,5301
95,コスタリカ,1263,10
96,マルタ,627,9
97,パラグアイ,1090,11
98,バングラデシュ,63026,846
99,モルドバ,9511,323
100,ブルガリア,2711,160
101,モルディブ,1901,7
102,ブルネイ,141,2
103,キプロス,960,17
104,アルバニア,1232,34
105,ブルキナファソ,888,53
106,モンゴル,193,0
107,パナマ,15463,363
108,ボリビア,12728,415
109,ホンジュラス,5971,243
110,コンゴ民主共和国,3878,80
111,ジャマイカ,595,10
112,トルコ,169218,4669
113,コートジボワール,3557,36
114,ガイアナ,154,12
115,ガーンジー（英領）,252,13
116,ジャージー（英領）,309,30
117,ケイマン諸島（英領）,160,1
118,キューバ,2173,83
119,トリニダード・トバゴ,117,8
120,スーダン,6081,347
121,ギニア,4117,23
122,エチオピア,1934,19
123,ケニア,2600,79
124,グアテマラ,6485,158
125,ベネズエラ,2145,20
126,ガボン,3101,21
127,ガーナ,9462,42
128,アンティグア・バーブーダ,26,3
129,カザフスタン,12511,52
130,ウルグアイ,845,23
131,アルバ,101,3
132,ナミビア,29,0
133,セーシェル,11,0
134,セントルシア,19,0
135,ルワンダ,431,2
136,エスワティニ,322,3
137,キュラソー,21,1
138,スリナム,100,1
139,モーリタニア,947,43
140,コソボ,1142,30
141,コンゴ共和国,683,20
142,セントビンセント及びクレナディーン諸島,26,0
143,中央アフリカ,1570,4
144,ウズベキスタン,4094,16
145,赤道ギニア,1306,12
146,リベリア,345,30
147,タンザニア,509,21
148,ソマリア,2289,79
149,ベナン,261,3
150,バハマ,103,11
151,モンテネグロ,324,9
152,バルバドス,92,7
153,キルギス,1974,22
154,ザンビア,1089,7
155,ジブチ,4169,26
156,ガンビア,26,1
157,モーリシャス,337,10
158,フィジー,18,0
159,エルサルバドル,2934,53
160,チャド,836,68
161,ニカラグア,1118,46
162,モントセラト（英領）,11,1
163,マダガスカル,1026,7
164,ハイチ,3072,50
165,アンゴラ,88,4
166,ニジェール,970,65
167,パプアニューギニア,8,0
168,ジンバブエ,279,4
169,カーボベルデ,542,5
170,エリトリア,39,0
171,東ティモール,24,0
172,マン島（英王室属領）,336,24
173,ウガンダ,593,0
174,ニューカレドニア,20,0
175,シリア,125,6
176,モザンビーク,409,2
177,グレナダ,23,0
178,ベリーズ,19,2
179,バミューダ（英領）,141,9
180,ミャンマー,240,6
181,ドミニカ国,18,0
182,ラオス,19,0
183,タークス・カイコス諸島（英領）,12,1
184,ギニアビサウ,1368,12
185,マリ,1523,87
186,セントクリストファー・ネービス,15,0
187,リビア,256,5
188,アンギラ（英領）,3,0
189,バージン諸島（英領）,8,1
190,シエラレオネ,946,47
191,ブルンジ,63,1
192,ボツワナ,40,1
193,マラウイ,409,4
194,ボネール、シント・ユースタティウス及びサバ,7,0
195,フォークランド諸島（英領）,13,0
196,西サハラ,9,1
197,南スーダン共和国,994,14
198,サントメ・プリンシペ,499,10
199,イエメン共和国,482,112
200,タジキスタン共和国,4453,48
201,コモロ連合,141,2
202,レソト王国,4,0
203,ダイヤモンド・プリンセス,712,13
204,その他,29,0
205,計,6807245,397105
