,Country,Infected,Deaths
0,中国,83046,4634
1,香港,1108,4
2,マカオ,45,0
3,日本,17251,919
4,韓国,11902,276
5,台湾,443,7
6,シンガポール,38514,25
7,ネパール,4086,14
8,タイ,3121,58
9,ベトナム,332,0
10,マレーシア,8336,117
11,豪州,7270,102
12,米国,1979089,111876
13,カナダ,96653,7897
14,フランス,154591,29296
15,ドイツ,186506,8736
16,カンボジア,126,0
17,スリランカ,1859,11
18,アラブ首長国連邦,39904,281
19,フィンランド,7025,323
20,フィリピン,22992,1017
21,インド,266598,7466
22,イタリア,235561,34043
23,英国,289140,40883
24,ロシア,484630,6134
25,スウェーデン,45924,4717
26,スペイン,241966,27136
27,ベルギー,59437,9619
28,エジプト,36829,1271
29,イラン,175927,8425
30,イスラエル,18180,295
31,レバノン,1368,30
32,クウェート,33140,269
33,バーレーン,15731,27
34,オマーン,18198,81
35,アフガニスタン,21459,376
36,イラク,14268,370
37,アルジェリア,10382,715
38,オーストリア,16979,672
39,スイス,30906,1660
40,クロアチア,2247,104
41,ブラジル,739503,38406
42,ジョージア,818,13
43,パキスタン,108317,2172
44,北マケドニア,3239,156
45,ギリシア,3058,182
46,ノルウェー,8576,239
47,ルーマニア,20749,1334
48,デンマーク,12201,593
49,エストニア,1947,69
50,オランダ,47739,6016
51,サンマリノ,688,42
52,リトアニア,1727,71
53,ナイジェリア,13464,361
54,アイスランド,1807,10
55,アゼルバイジャン,8191,93
56,ベラルーシ,50265,276
57,ニュージーランド,1504,22
58,メキシコ,124301,14649
59,カタール,71879,62
60,ルクセンブルク,4046,110
61,モナコ,99,1
62,エクアドル,43917,3690
63,アイルランド,25215,1683
64,チェコ,9751,328
65,アルメニア,13675,217
66,ドミニカ共和国,20415,539
67,インドネシア,33076,1883
68,アンドラ,852,51
69,ポルトガル,35306,1485
70,ラトビア,1089,26
71,セネガル,4516,49
72,サウジアラビア,108571,783
73,ヨルダン,845,9
74,アルゼンチン,24761,670
75,チリ,142759,2283
76,ウクライナ,28479,810
77,モロッコ,8437,208
78,チュニジア,1087,49
79,ハンガリー,4017,548
80,リヒテンシュタイン,82,1
81,ポーランド,27560,1166
82,スロベニア,1486,108
83,パレスチナ,481,5
84,ボスニア・ヘルツェゴビナ,2728,159
85,南アフリカ,52991,1080
86,ジブラルタル（英領）,176,0
87,ブータン,59,0
88,カメルーン,8312,215
89,トーゴ,501,13
90,セルビア,11965,250
91,スロバキア,1531,28
92,バチカン,12,0
93,コロンビア,40847,1259
94,ペルー,203736,5738
95,コスタリカ,1375,10
96,マルタ,632,9
97,パラグアイ,1187,11
98,バングラデシュ,71675,975
99,モルドバ,10025,359
100,ブルガリア,2889,164
101,モルディブ,1942,8
102,ブルネイ,141,2
103,キプロス,972,18
104,アルバニア,1299,34
105,ブルキナファソ,891,53
106,モンゴル,194,0
107,パナマ,17233,393
108,ボリビア,13949,465
109,ホンジュラス,6450,258
110,コンゴ民主共和国,4259,87
111,ジャマイカ,605,10
112,トルコ,172114,4729
113,コートジボワール,3995,38
114,ガイアナ,156,12
115,ガーンジー（英領）,252,13
116,ジャージー（英領）,311,30
117,ケイマン諸島（英領）,164,1
118,キューバ,2205,83
119,トリニダード・トバゴ,117,8
120,スーダン,6427,372
121,ギニア,4258,23
122,エチオピア,2336,27
123,ケニア,2989,85
124,グアテマラ,7866,252
125,ベネズエラ,2632,22
126,ガボン,3247,21
127,ガーナ,10201,48
128,アンティグア・バーブーダ,26,3
129,カザフスタン,13074,58
130,ウルグアイ,846,23
131,アルバ,101,3
132,ナミビア,31,0
133,セーシェル,11,0
134,セントルシア,19,0
135,ルワンダ,463,2
136,エスワティニ,371,3
137,キュラソー,21,1
138,スリナム,137,2
139,モーリタニア,1162,43
140,コソボ,1263,31
141,コンゴ共和国,728,20
142,セントビンセント及びクレナディーン諸島,27,0
143,中央アフリカ,1850,5
144,ウズベキスタン,4520,18
145,赤道ギニア,1306,12
146,リベリア,383,30
147,タンザニア,509,21
148,ソマリア,2416,84
149,ベナン,305,4
150,バハマ,103,11
151,モンテネグロ,324,9
152,バルバドス,92,7
153,キルギス,2055,24
154,ザンビア,1200,10
155,ジブチ,4331,31
156,ガンビア,28,1
157,モーリシャス,337,10
158,フィジー,18,0
159,エルサルバドル,3191,55
160,チャド,844,70
161,ニカラグア,1118,46
162,モントセラト（英領）,11,1
163,マダガスカル,1138,9
164,ハイチ,3538,51
165,アンゴラ,96,4
166,ニジェール,974,65
167,パプアニューギニア,8,0
168,ジンバブエ,314,4
169,カーボベルデ,585,5
170,エリトリア,39,0
171,東ティモール,24,0
172,マン島（英王室属領）,336,24
173,ウガンダ,657,0
174,ニューカレドニア,20,0
175,シリア,146,6
176,モザンビーク,453,2
177,グレナダ,23,0
178,ベリーズ,20,2
179,バミューダ（英領）,141,9
180,ミャンマー,246,6
181,ドミニカ国,18,0
182,ラオス,19,0
183,タークス・カイコス諸島（英領）,12,1
184,ギニアビサウ,1389,12
185,マリ,1586,92
186,セントクリストファー・ネービス,15,0
187,リビア,359,5
188,アンギラ（英領）,3,0
189,バージン諸島（英領）,8,1
190,シエラレオネ,1025,49
191,ブルンジ,83,1
192,ボツワナ,42,1
193,マラウイ,455,4
194,ボネール、シント・ユースタティウス及びサバ,7,0
195,フォークランド諸島（英領）,13,0
196,西サハラ,9,1
197,南スーダン共和国,1604,19
198,サントメ・プリンシペ,514,10
199,イエメン共和国,524,113
200,タジキスタン共和国,4690,48
201,コモロ連合,141,2
202,レソト王国,4,0
203,ダイヤモンド・プリンセス,712,13
204,その他,29,0
205,計,7186650,409913
