,Country,Infected,Deaths
0,中国,81620,3322
1,香港,802,4
2,マカオ,41,0
3,日本,2617,63
4,韓国,10062,174
5,台湾,339,5
6,シンガポール,1049,3
7,ネパール,6,0
8,タイ,1875,12
9,ベトナム,227,0
10,マレーシア,3116,45
11,豪州,5224,23
12,米国,242182,5911
13,カナダ,11268,138
14,フランス,59105,4503
15,ドイツ,84788,1107
16,カンボジア,110,0
17,スリランカ,151,2
18,アラブ首長国連邦,1024,8
19,フィンランド,1518,17
20,フィリピン,2633,107
21,インド,2069,53
22,イタリア,115242,13915
23,英国,33718,2921
24,ロシア,3527,30
25,スウェーデン,5466,282
26,スペイン,110238,10003
27,ベルギー,15348,1011
28,エジプト,865,52
29,イラン,50468,3160
30,イスラエル,6857,21
31,レバノン,494,12
32,クウェート,342,0
33,バーレーン,643,4
34,オマーン,231,1
35,アフガニスタン,273,4
36,イラク,772,52
37,アルジェリア,986,86
38,オーストリア,10967,158
39,スイス,18192,432
40,クロアチア,1011,6
41,ブラジル,7910,299
42,ジョージア,134,0
43,パキスタン,2421,31
44,北マケドニア,384,11
45,ギリシア,1544,50
46,ノルウェー,4935,42
47,ルーマニア,2738,115
48,デンマーク,3573,104
49,エストニア,858,5
50,オランダ,14697,1339
51,サンマリノ,245,28
52,リトアニア,649,8
53,ナイジェリア,184,2
54,アイスランド,1319,2
55,アゼルバイジャン,400,5
56,ベラルーシ,304,2
57,ニュージーランド,797,1
58,メキシコ,1378,29
59,カタール,949,2
60,ルクセンブルク,2487,29
61,モナコ,60,0
62,エクアドル,3163,146
63,アイルランド,3849,85
64,チェコ,3805,39
65,アルメニア,663,3
66,ドミニカ共和国,1380,57
67,インドネシア,1790,157
68,アンドラ,428,13
69,ポルトガル,9034,209
70,ラトビア,458,0
71,セネガル,195,1
72,サウジアラビア,1885,16
73,ヨルダン,299,5
74,アルゼンチン,1133,36
75,チリ,3404,16
76,ウクライナ,897,20
77,モロッコ,708,39
78,チュニジア,455,12
79,ハンガリー,585,20
80,リヒテンシュタイン,75,0
81,ポーランド,2946,43
82,スロベニア,897,15
83,パレスチナ,161,1
84,ボスニア・ヘルツェゴビナ,533,13
85,南アフリカ,1462,5
86,ジブラルタル（英領）,69,0
87,ブータン,5,0
88,カメルーン,306,6
89,トーゴ,39,2
90,セルビア,1171,13
91,スロバキア,426,0
92,バチカン,7,0
93,コロンビア,1161,19
94,ペルー,1414,55
95,コスタリカ,396,2
96,マルタ,196,0
97,パラグアイ,77,3
98,バングラデシュ,56,6
99,モルドバ,505,5
100,ブルガリア,457,10
101,モルディブ,19,0
102,ブルネイ,133,1
103,キプロス,356,9
104,アルバニア,277,15
105,ブルキナファソ,288,14
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,14,0
108,パナマ,1317,30
109,ボリビア,123,7
110,ホンジュラス,219,10
111,コンゴ民主共和国,123,13
112,ジャマイカ,47,1
113,トルコ,18135,356
114,コートジボワール,194,0
115,ガイアナ,19,2
116,ガーンジー（英領）,78,1
117,ジャージー（英領）,81,2
118,ケイマン諸島（英領）,14,1
119,キューバ,233,6
120,トリニダード・トバゴ,94,5
121,スーダン,8,2
122,ギニア,52,0
123,エチオピア,29,0
124,ケニア,110,1
125,グアテマラ,47,1
126,ベネズエラ,144,3
127,ガボン,21,1
128,ガーナ,204,5
129,アンティグア・バーブーダ,9,0
130,カザフスタン,435,3
131,ウルグアイ,350,2
132,アルバ,55,0
133,ナミビア,14,0
134,セーシェル,10,0
135,セントルシア,13,0
136,ルワンダ,84,0
137,エスワティニ,9,0
138,キュラソー,11,1
139,スリナム,10,0
140,モーリタニア,6,0
141,コソボ,125,1
142,コンゴ共和国,22,2
143,セントビンセント及びクレナディーン諸島,2,0
144,中央アフリカ,8,0
145,ウズベキスタン,205,2
146,赤道ギニア,15,0
147,リベリア,6,0
148,タンザニア,20,1
149,ソマリア,5,0
150,ベナン,13,0
151,バハマ,21,0
152,モンテネグロ,144,2
153,バルバドス,46,0
154,キルギス,116,0
155,ザンビア,39,0
156,ジブチ,40,0
157,ガンビア,4,1
158,モーリシャス,169,5
159,フィジー,7,0
160,エルサルバドル,41,1
161,チャド,8,0
162,ニカラグア,5,1
163,モントセラト（英領）,5,0
164,マダガスカル,59,0
165,ハイチ,16,0
166,アンゴラ,8,2
167,ニジェール,98,5
168,パプアニューギニア,1,0
169,ジンバブエ,9,1
170,カーボベルデ,6,1
171,エリトリア,22,0
172,東ティモール,1,0
173,マン島（英王室属領）,65,0
174,ウガンダ,45,0
175,ニューカレドニア,16,0
176,シリア,16,3
177,モザンビーク,10,0
178,グレナダ,10,0
179,ベリーズ,3,0
180,バミューダ（英領）,32,0
181,ミャンマー,20,1
182,ドミニカ国,12,0
183,ラオス,10,0
184,タークス・カイコス諸島（英領）,5,0
185,ギニアビサウ,9,0
186,マリ,36,0
187,セントクリストファー・ネービス,9,0
188,リビア,11,0
189,アンギラ（英領）,2,0
190,バージン諸島（英領）,3,0
191,シエラレオネ,2,0
192,ブルンジ,3,0
193,ボツワナ,3,1
194,マラウイ,3,0
195,その他,712,11
196,計,1007631,51356
