,Country,Infected,Deaths
0,中国,82804,4632
1,香港,1036,4
2,マカオ,45,0
3,日本,12388,317
4,韓国,10708,240
5,台湾,427,6
6,シンガポール,11178,12
7,ネパール,48,0
8,タイ,2839,50
9,ベトナム,268,0
10,マレーシア,5603,93
11,豪州,6661,74
12,米国,873137,49759
13,カナダ,40824,2028
14,フランス,120804,21856
15,ドイツ,151784,5404
16,カンボジア,122,0
17,スリランカ,368,7
18,アラブ首長国連邦,8756,52
19,フィンランド,4284,149
20,フィリピン,6981,462
21,インド,21700,686
22,イタリア,189973,25549
23,英国,138078,18738
24,ロシア,62697,555
25,スウェーデン,16755,2021
26,スペイン,213024,22157
27,ベルギー,42797,6490
28,エジプト,3891,276
29,イラン,87026,5481
30,イスラエル,14803,189
31,レバノン,688,22
32,クウェート,2399,13
33,バーレーン,2217,7
34,オマーン,1716,8
35,アフガニスタン,1279,40
36,イラク,1677,83
37,アルジェリア,3007,402
38,オーストリア,14963,522
39,スイス,28415,1267
40,クロアチア,1981,48
41,ブラジル,49492,3313
42,ジョージア,425,5
43,パキスタン,11057,224
44,北マケドニア,1300,56
45,ギリシア,2463,121
46,ノルウェー,7361,169
47,ルーマニア,10096,508
48,デンマーク,8271,384
49,エストニア,1592,44
50,オランダ,35729,4177
51,サンマリノ,501,40
52,リトアニア,1398,38
53,ナイジェリア,873,19
54,アイスランド,1789,10
55,アゼルバイジャン,1548,20
56,ベラルーシ,8022,60
57,ニュージーランド,1451,16
58,メキシコ,10544,857
59,カタール,7764,10
60,ルクセンブルク,3665,80
61,モナコ,94,1
62,エクアドル,11183,537
63,アイルランド,17607,794
64,チェコ,7138,210
65,アルメニア,1523,24
66,ドミニカ共和国,5543,260
67,インドネシア,7775,635
68,アンドラ,723,37
69,ポルトガル,22353,820
70,ラトビア,778,11
71,セネガル,479,6
72,サウジアラビア,13930,114
73,ヨルダン,437,7
74,アルゼンチン,3288,152
75,チリ,11812,160
76,ウクライナ,7170,187
77,モロッコ,3568,149
78,チュニジア,918,38
79,ハンガリー,2284,225
80,リヒテンシュタイン,81,1
81,ポーランド,10511,426
82,スロベニア,1366,79
83,パレスチナ,480,2
84,ボスニア・ヘルツェゴビナ,1413,52
85,南アフリカ,3953,65
86,ジブラルタル（英領）,133,0
87,ブータン,7,0
88,カメルーン,1334,43
89,トーゴ,88,6
90,セルビア,6630,134
91,スロバキア,1325,14
92,バチカン,9,0
93,コロンビア,4561,196
94,ペルー,20914,572
95,コスタリカ,687,6
96,マルタ,445,3
97,パラグアイ,213,9
98,バングラデシュ,4186,120
99,モルドバ,2926,76
100,ブルガリア,1097,49
101,モルディブ,108,0
102,ブルネイ,138,1
103,キプロス,795,17
104,アルバニア,663,27
105,ブルキナファソ,609,38
106,チャンネル諸島（英王室属領）,1,0
107,モンゴル,35,0
108,パナマ,4992,141
109,ボリビア,672,37
110,ホンジュラス,519,46
111,コンゴ民主共和国,377,25
112,ジャマイカ,252,6
113,トルコ,101790,2491
114,コートジボワール,1004,14
115,ガイアナ,67,7
116,ガーンジー（英領）,241,10
117,ジャージー（英領）,255,14
118,ケイマン諸島（英領）,66,1
119,キューバ,1235,40
120,トリニダード・トバゴ,115,8
121,スーダン,162,13
122,ギニア,862,6
123,エチオピア,116,3
124,ケニア,320,14
125,グアテマラ,342,8
126,ベネズエラ,298,10
127,ガボン,167,1
128,ガーナ,1154,9
129,アンティグア・バーブーダ,24,3
130,カザフスタン,2289,19
131,ウルグアイ,549,12
132,アルバ,100,2
133,ナミビア,16,0
134,セーシェル,11,0
135,セントルシア,15,0
136,ルワンダ,154,0
137,エスワティニ,31,1
138,キュラソー,14,1
139,スリナム,10,1
140,モーリタニア,7,1
141,コソボ,510,18
142,コンゴ共和国,186,6
143,セントビンセント及びクレナディーン諸島,13,0
144,中央アフリカ,16,0
145,ウズベキスタン,1758,7
146,赤道ギニア,84,1
147,リベリア,101,8
148,タンザニア,284,10
149,ソマリア,328,14
150,ベナン,54,1
151,バハマ,70,9
152,モンテネグロ,316,5
153,バルバドス,76,5
154,キルギス,631,8
155,ザンビア,76,3
156,ジブチ,986,2
157,ガンビア,10,1
158,モーリシャス,331,9
159,フィジー,18,0
160,エルサルバドル,250,7
161,チャド,33,0
162,ニカラグア,11,2
163,モントセラト（英領）,11,0
164,マダガスカル,121,0
165,ハイチ,62,4
166,アンゴラ,25,2
167,ニジェール,662,22
168,パプアニューギニア,8,0
169,ジンバブエ,28,4
170,カーボベルデ,82,1
171,エリトリア,39,0
172,東ティモール,23,0
173,マン島（英王室属領）,307,10
174,ウガンダ,63,0
175,ニューカレドニア,18,0
176,シリア,42,3
177,モザンビーク,46,0
178,グレナダ,15,0
179,ベリーズ,18,2
180,バミューダ（英領）,98,5
181,ミャンマー,132,5
182,ドミニカ国,16,0
183,ラオス,19,0
184,タークス・カイコス諸島（英領）,11,1
185,ギニアビサウ,50,0
186,マリ,309,17
187,セントクリストファー・ネービス,15,0
188,リビア,60,1
189,アンギラ（英領）,3,0
190,バージン諸島（英領）,4,1
191,シエラレオネ,64,1
192,ブルンジ,11,1
193,ボツワナ,22,1
194,マラウイ,33,3
195,ボネール、シント・ユースタティウス及びサバ,5,0
196,フォークランド諸島（英領）,12,0
197,西サハラ,6,0
198,南スーダン共和国,4,0
199,サントメ・プリンシペ,4,0
200,イエメン共和国,1,0
201,その他,712,13
202,計,2666332,189310
