,Country,Infected,Deaths
0,中国,83021,4634
1,香港,1094,4
2,マカオ,45,0
3,日本,16987,900
4,韓国,11590,273
5,台湾,443,7
6,シンガポール,35836,24
7,ネパール,2099,8
8,タイ,3083,58
9,ベトナム,328,0
10,マレーシア,7877,115
11,豪州,7228,103
12,米国,1831730,106180
13,カナダ,92399,7395
14,フランス,151325,28940
15,ドイツ,183879,8563
16,カンボジア,125,0
17,スリランカ,1683,11
18,アラブ首長国連邦,35788,266
19,フィンランド,6887,320
20,フィリピン,18997,966
21,インド,198706,5598
22,イタリア,233515,33530
23,英国,277985,39369
24,ロシア,423186,5031
25,スウェーデン,38589,4468
26,スペイン,239932,27127
27,ベルギー,58615,9505
28,エジプト,27536,1005
29,イラン,157562,7942
30,イスラエル,17285,285
31,レバノン,1242,27
32,クウェート,28649,220
33,バーレーン,12311,19
34,オマーン,12799,50
35,アフガニスタン,16509,270
36,イラク,7387,215
37,アルジェリア,9626,661
38,オーストリア,16759,668
39,スイス,30792,1656
40,クロアチア,2246,103
41,ブラジル,555383,31199
42,ジョージア,796,12
43,パキスタン,76398,1621
44,北マケドニア,2391,140
45,ギリシア,2937,175
46,ノルウェー,8455,236
47,ルーマニア,19517,1279
48,デンマーク,11934,580
49,エストニア,1870,68
50,オランダ,46545,5962
51,サンマリノ,672,42
52,リトアニア,1682,70
53,ナイジェリア,10819,299
54,アイスランド,1806,10
55,アゼルバイジャン,5935,68
56,ベラルーシ,44255,240
57,ニュージーランド,1504,22
58,メキシコ,97326,10637
59,カタール,60259,43
60,ルクセンブルク,4020,110
61,モナコ,99,1
62,エクアドル,40414,3438
63,アイルランド,25066,1650
64,チェコ,9364,321
65,アルメニア,10009,158
66,ドミニカ共和国,17752,502
67,インドネシア,27549,1641
68,アンドラ,844,51
69,ポルトガル,32895,1424
70,ラトビア,1071,24
71,セネガル,3836,42
72,サウジアラビア,89011,549
73,ヨルダン,755,9
74,アルゼンチン,18319,541
75,チリ,108686,1188
76,ウクライナ,24895,727
77,モロッコ,7866,205
78,チュニジア,1086,48
79,ハンガリー,3921,532
80,リヒテンシュタイン,82,1
81,ポーランド,24395,1074
82,スロベニア,1475,108
83,パレスチナ,451,5
84,ボスニア・ヘルツェゴビナ,2535,153
85,南アフリカ,35812,705
86,ジブラルタル（英領）,170,0
87,ブータン,47,0
88,カメルーン,6585,199
89,トーゴ,445,13
90,セルビア,11454,244
91,スロバキア,1522,28
92,バチカン,12,0
93,コロンビア,30593,939
94,ペルー,170039,4634
95,コスタリカ,1105,10
96,マルタ,620,9
97,パラグアイ,1013,11
98,バングラデシュ,52445,709
99,モルドバ,8548,307
100,ブルガリア,2538,144
101,モルディブ,1841,6
102,ブルネイ,141,2
103,キプロス,952,17
104,アルバニア,1164,33
105,ブルキナファソ,881,53
106,モンゴル,185,0
107,パナマ,13837,336
108,ボリビア,10531,313
109,ホンジュラス,5362,212
110,コンゴ民主共和国,3326,71
111,ジャマイカ,588,9
112,トルコ,165555,4585
113,コートジボワール,3024,33
114,ガイアナ,153,12
115,ガーンジー（英領）,252,13
116,ジャージー（英領）,308,29
117,ケイマン諸島（英領）,141,1
118,キューバ,2092,83
119,トリニダード・トバゴ,117,8
120,スーダン,5173,298
121,ギニア,3886,23
122,エチオピア,1344,12
123,ケニア,2093,69
124,グアテマラ,5336,108
125,ベネズエラ,1819,14
126,ガボン,2803,17
127,ガーナ,8297,36
128,アンティグア・バーブーダ,26,3
129,カザフスタン,11571,41
130,ウルグアイ,826,22
131,アルバ,101,3
132,ナミビア,25,0
133,セーシェル,11,0
134,セントルシア,18,0
135,ルワンダ,384,1
136,エスワティニ,294,3
137,キュラソー,20,1
138,スリナム,54,1
139,モーリタニア,668,23
140,コソボ,1064,30
141,コンゴ共和国,611,20
142,セントビンセント及びクレナディーン諸島,26,0
143,中央アフリカ,1069,4
144,ウズベキスタン,3760,15
145,赤道ギニア,1306,12
146,リベリア,311,27
147,タンザニア,509,21
148,ソマリア,2089,79
149,ベナン,244,3
150,バハマ,102,11
151,モンテネグロ,324,9
152,バルバドス,92,7
153,キルギス,1845,17
154,ザンビア,1089,7
155,ジブチ,3779,24
156,ガンビア,25,1
157,モーリシャス,335,10
158,フィジー,18,0
159,エルサルバドル,2653,46
160,チャド,803,66
161,ニカラグア,1118,35
162,モントセラト（英領）,11,1
163,マダガスカル,845,6
164,ハイチ,2226,44
165,アンゴラ,86,4
166,ニジェール,960,64
167,パプアニューギニア,8,0
168,ジンバブエ,206,4
169,カーボベルデ,466,4
170,エリトリア,39,0
171,東ティモール,24,0
172,マン島（英王室属領）,336,24
173,ウガンダ,489,0
174,ニューカレドニア,19,0
175,シリア,123,5
176,モザンビーク,307,2
177,グレナダ,23,0
178,ベリーズ,18,2
179,バミューダ（英領）,140,9
180,ミャンマー,232,6
181,ドミニカ国,18,0
182,ラオス,19,0
183,タークス・カイコス諸島（英領）,12,1
184,ギニアビサウ,1339,8
185,マリ,1351,78
186,セントクリストファー・ネービス,15,0
187,リビア,182,5
188,アンギラ（英領）,3,0
189,バージン諸島（英領）,8,1
190,シエラレオネ,896,46
191,ブルンジ,63,1
192,ボツワナ,40,1
193,マラウイ,358,4
194,ボネール、シント・ユースタティウス及びサバ,7,0
195,フォークランド諸島（英領）,13,0
196,西サハラ,9,1
197,南スーダン共和国,994,10
198,サントメ・プリンシペ,484,10
199,イエメン共和国,399,85
200,タジキスタン共和国,4100,47
201,コモロ連合,132,2
202,レソト王国,2,0
203,ダイヤモンド・プリンセス,712,13
204,その他,29,0
205,計,6329617,379096
