,Country,Infected,Deaths
0,中国,80409,3012
1,香港,104,2
2,マカオ,10,0
3,韓国,5766,35
4,台湾,42,1
5,シンガポール,112,0
6,ネパール,1,0
7,タイ,43,1
8,ベトナム,16,0
9,マレーシア,50,0
10,豪州,52,2
11,米国,129,9
12,カナダ,33,0
13,フランス,285,4
14,ドイツ,262,0
15,カンボジア,1,0
16,スリランカ,1,0
17,アラブ首長国連邦,27,0
18,フィンランド,7,0
19,フィリピン,3,1
20,インド,29,0
21,イタリア,2706,107
22,英国,86,0
23,ロシア,3,0
24,スウェーデン,35,0
25,スペイン,198,1
26,ベルギー,23,0
27,エジプト,2,0
28,イラン,2922,92
29,イスラエル,15,0
30,レバノン,13,0
31,クウェート,56,0
32,バーレーン,51,0
33,オマーン,12,0
34,アフガニスタン,1,0
35,イラク,32,1
36,アルジェリア,12,0
37,オーストリア,29,0
38,スイス,58,0
39,クロアチア,9,0
40,ブラジル,3,0
41,ジョージア,3,0
42,パキスタン,5,0
43,北マケドニア,1,0
44,ギリシア,9,0
45,ノルウェー,33,0
46,ルーマニア,4,0
47,デンマーク,15,0
48,エストニア,2,0
49,オランダ,38,0
50,サンマリノ,15,1
51,リトアニア,1,0
52,ナイジェリア,1,0
53,アイスランド,26,0
54,アゼルバイジャン,3,0
55,ベラルーシ,1,0
56,ニュージーランド,3,0
57,メキシコ,5,0
58,カタール,8,0
59,ルクセンブルク,1,0
60,モナコ,1,0
61,エクアドル,10,0
62,アイルランド,2,0
63,チェコ,5,0
64,アルメニア,1,0
65,ドミニカ共和国,1,0
66,インドネシア,2,0
67,アンドラ,1,0
68,ポルトガル,4,0
69,ラトビア,1,0
70,セネガル,4,0
71,サウジアラビア,1,0
72,ヨルダン,1,0
73,アルゼンチン,1,0
74,チリ,1,0
75,ウクライナ,1,0
76,モロッコ,1,0
77,チュニジア,1,0
78,ハンガリー,2,0
79,リヒテンシュタイン,1,0
80,ポーランド,1,0
81,スロベニア,1,0
