,pref,area
0,北海道,"78,421.40"
1,岩手県,"15,275.01"
2,福島県,"13,783.90"
3,長野県,"13,561.56"
4,新潟県,"12,584.27"
5,秋田県,"11,637.52"
6,岐阜県,"10,621.29"
7,青森県,"9,645.64"
8,山形県,"9,323.15"
9,鹿児島県,"9,187.06"
10,広島県,"8,479.64"
11,兵庫県,"8,401.02"
12,静岡県,"7,777.35"
13,宮崎県,"7,735.34"
14,熊本県,"7,409.46"
15,宮城県,"7,282.29"
16,岡山県,"7,114.33"
17,高知県,"7,103.64"
18,島根県,"6,707.89"
19,栃木県,"6,408.09"
20,群馬県,"6,362.28"
21,大分県,"6,340.76"
22,山口県,"6,112.54"
23,茨城県,"6,097.39"
24,三重県,"5,774.49"
25,愛媛県,"5,676.23"
26,愛知県,"5,173.07"
27,千葉県,"5,157.60"
28,福岡県,"4,986.51"
29,和歌山県,"4,724.65"
30,京都府,"4,612.20"
31,山梨県,"4,465.27"
32,富山県,"4,247.58"
33,福井県,"4,190.52"
34,石川県,"4,186.20"
35,徳島県,"4,146.75"
36,長崎県,"4,130.98"
37,滋賀県,"4,017.38"
38,埼玉県,"3,797.75"
39,奈良県,"3,690.94"
40,鳥取県,"3,507.14"
41,佐賀県,"2,440.69"
42,神奈川県,"2,416.32"
43,沖縄県,"2,282.59"
44,東京都,"2,194.07"
45,大阪府,"1,905.32"
46,香川県,"1,876.78"
