,pref,popDensity
0,東京都,"6,367.67"
1,大阪府,"4,627.76"
2,神奈川県,"3,813.30"
3,埼玉県,"1,933.63"
4,愛知県,"1,457.77"
5,千葉県,"1,217.89"
6,福岡県,"1,024.12"
7,兵庫県,647.41
8,沖縄県,639.12
9,京都府,556.88
10,香川県,505.55
11,茨城県,468.09
12,静岡県,465.32
13,奈良県,358.44
14,滋賀県,351.58
15,佐賀県,331.39
16,広島県,329.60
17,長崎県,317.28
18,宮城県,314.83
19,三重県,306.11
20,群馬県,302.78
21,栃木県,301.51
22,石川県,269.97
23,岡山県,264.59
24,富山県,243.59
25,熊本県,234.28
26,愛媛県,233.69
27,山口県,219.47
28,和歌山県,193.47
29,岐阜県,185.87
30,福井県,182.00
31,山梨県,180.55
32,大分県,177.42
33,新潟県,174.80
34,徳島県,173.94
35,鹿児島県,172.78
36,鳥取県,157.22
37,長野県,149.99
38,宮崎県,137.52
39,福島県,132.77
40,青森県,127.57
41,山形県,114.23
42,島根県,99.43
43,高知県,97.10
44,秋田県,81.81
45,岩手県,79.36
46,北海道,66.47
