,pref,population
0,東京都,"13,942,856"
1,神奈川県,"9,200,166"
2,大阪府,"8,823,453"
3,愛知県,"7,552,873"
4,埼玉県,"7,337,330"
5,千葉県,"6,279,026"
6,兵庫県,"5,463,609"
7,北海道,"5,248,552"
8,福岡県,"5,110,113"
9,静岡県,"3,639,226"
10,茨城県,"2,868,041"
11,広島県,"2,807,987"
12,京都府,"2,583,140"
13,宮城県,"2,303,160"
14,新潟県,"2,222,004"
15,長野県,"2,049,023"
16,岐阜県,"1,988,931"
17,栃木県,"1,942,312"
18,群馬県,"1,937,626"
19,岡山県,"1,891,346"
20,福島県,"1,847,950"
21,三重県,"1,779,770"
22,熊本県,"1,746,740"
23,鹿児島県,"1,599,984"
24,沖縄県,"1,454,184"
25,滋賀県,"1,413,959"
26,山口県,"1,355,495"
27,愛媛県,"1,338,811"
28,奈良県,"1,331,330"
29,長崎県,"1,325,205"
30,青森県,"1,246,138"
31,岩手県,"1,226,430"
32,石川県,"1,137,181"
33,大分県,"1,134,431"
34,山形県,"1,077,057"
35,宮崎県,"1,072,077"
36,富山県,"1,042,998"
37,秋田県,"965,968"
38,香川県,"956,069"
39,和歌山県,"923,721"
40,佐賀県,"814,211"
41,山梨県,"812,056"
42,福井県,"767,742"
43,徳島県,"728,633"
44,高知県,"697,674"
45,島根県,"673,891"
46,鳥取県,"555,663"
